2025-03-27 23:36:06,774 - INFO - Frames_seen 258| Episode 1/500000 | Score: 3.00 | Avg Reward: 3.00 | Epsilon: 1.0000 | Time: 0.61s
2025-03-27 23:36:07,061 - INFO - Frames_seen 397| Episode 2/500000 | Score: 0.00 | Avg Reward: 1.50 | Epsilon: 1.0000 | Time: 0.29s
2025-03-27 23:36:07,453 - INFO - Frames_seen 677| Episode 3/500000 | Score: 4.00 | Avg Reward: 2.33 | Epsilon: 1.0000 | Time: 0.39s
2025-03-27 23:36:07,835 - INFO - Frames_seen 942| Episode 4/500000 | Score: 3.00 | Avg Reward: 2.50 | Epsilon: 1.0000 | Time: 0.38s
2025-03-27 23:36:08,044 - INFO - Frames_seen 1087| Episode 5/500000 | Score: 0.00 | Avg Reward: 2.00 | Epsilon: 1.0000 | Time: 0.21s
2025-03-27 23:36:08,306 - INFO - Frames_seen 1271| Episode 6/500000 | Score: 1.00 | Avg Reward: 1.83 | Epsilon: 1.0000 | Time: 0.26s
2025-03-27 23:36:08,510 - INFO - Frames_seen 1411| Episode 7/500000 | Score: 0.00 | Avg Reward: 1.57 | Epsilon: 1.0000 | Time: 0.20s
2025-03-27 23:36:08,741 - INFO - Frames_seen 1573| Episode 8/500000 | Score: 1.00 | Avg Reward: 1.50 | Epsilon: 1.0000 | Time: 0.23s
2025-03-27 23:36:08,936 - INFO - Frames_seen 1708| Episode 9/500000 | Score: 0.00 | Avg Reward: 1.33 | Epsilon: 1.0000 | Time: 0.19s
2025-03-27 23:36:09,166 - INFO - Frames_seen 1870| Episode 10/500000 | Score: 1.00 | Avg Reward: 1.30 | Epsilon: 1.0000 | Time: 0.23s
2025-03-27 23:36:09,358 - INFO - Frames_seen 2005| Episode 11/500000 | Score: 0.00 | Avg Reward: 1.18 | Epsilon: 1.0000 | Time: 0.19s
2025-03-27 23:36:09,606 - INFO - Frames_seen 2181| Episode 12/500000 | Score: 1.00 | Avg Reward: 1.17 | Epsilon: 1.0000 | Time: 0.25s
2025-03-27 23:36:09,804 - INFO - Frames_seen 2318| Episode 13/500000 | Score: 0.00 | Avg Reward: 1.08 | Epsilon: 1.0000 | Time: 0.20s
2025-03-27 23:36:09,996 - INFO - Frames_seen 2451| Episode 14/500000 | Score: 0.00 | Avg Reward: 1.00 | Epsilon: 1.0000 | Time: 0.19s
2025-03-27 23:36:10,258 - INFO - Frames_seen 2635| Episode 15/500000 | Score: 1.00 | Avg Reward: 1.00 | Epsilon: 1.0000 | Time: 0.26s
2025-03-27 23:36:10,517 - INFO - Frames_seen 2818| Episode 16/500000 | Score: 1.00 | Avg Reward: 1.00 | Epsilon: 1.0000 | Time: 0.26s
2025-03-27 23:36:10,803 - INFO - Frames_seen 3020| Episode 17/500000 | Score: 2.00 | Avg Reward: 1.06 | Epsilon: 1.0000 | Time: 0.29s
2025-03-27 23:36:11,047 - INFO - Frames_seen 3191| Episode 18/500000 | Score: 1.00 | Avg Reward: 1.06 | Epsilon: 1.0000 | Time: 0.24s
2025-03-27 23:36:11,358 - INFO - Frames_seen 3412| Episode 19/500000 | Score: 2.00 | Avg Reward: 1.11 | Epsilon: 1.0000 | Time: 0.31s
2025-03-27 23:36:11,558 - INFO - Frames_seen 3550| Episode 20/500000 | Score: 0.00 | Avg Reward: 1.05 | Epsilon: 1.0000 | Time: 0.20s
2025-03-27 23:36:11,760 - INFO - Frames_seen 3690| Episode 21/500000 | Score: 0.00 | Avg Reward: 1.00 | Epsilon: 1.0000 | Time: 0.20s
2025-03-27 23:36:11,946 - INFO - Frames_seen 3818| Episode 22/500000 | Score: 0.00 | Avg Reward: 0.95 | Epsilon: 1.0000 | Time: 0.19s
2025-03-27 23:36:12,137 - INFO - Frames_seen 3950| Episode 23/500000 | Score: 0.00 | Avg Reward: 0.91 | Epsilon: 1.0000 | Time: 0.19s
2025-03-27 23:36:12,328 - INFO - Frames_seen 4083| Episode 24/500000 | Score: 0.00 | Avg Reward: 0.88 | Epsilon: 1.0000 | Time: 0.19s
2025-03-27 23:36:12,618 - INFO - Frames_seen 4288| Episode 25/500000 | Score: 2.00 | Avg Reward: 0.92 | Epsilon: 1.0000 | Time: 0.29s
2025-03-27 23:36:12,843 - INFO - Frames_seen 4445| Episode 26/500000 | Score: 1.00 | Avg Reward: 0.92 | Epsilon: 1.0000 | Time: 0.22s
2025-03-27 23:36:13,086 - INFO - Frames_seen 4615| Episode 27/500000 | Score: 1.00 | Avg Reward: 0.93 | Epsilon: 1.0000 | Time: 0.24s
2025-03-27 23:36:13,275 - INFO - Frames_seen 4746| Episode 28/500000 | Score: 0.00 | Avg Reward: 0.89 | Epsilon: 1.0000 | Time: 0.19s
2025-03-27 23:36:13,484 - INFO - Frames_seen 4892| Episode 29/500000 | Score: 0.00 | Avg Reward: 0.86 | Epsilon: 1.0000 | Time: 0.21s
2025-03-27 23:36:13,715 - INFO - Frames_seen 5054| Episode 30/500000 | Score: 1.00 | Avg Reward: 0.87 | Epsilon: 1.0000 | Time: 0.23s
2025-03-27 23:36:13,957 - INFO - Frames_seen 5222| Episode 31/500000 | Score: 1.00 | Avg Reward: 0.87 | Epsilon: 1.0000 | Time: 0.24s
2025-03-27 23:36:14,223 - INFO - Frames_seen 5410| Episode 32/500000 | Score: 2.00 | Avg Reward: 0.91 | Epsilon: 1.0000 | Time: 0.27s
2025-03-27 23:36:14,462 - INFO - Frames_seen 5578| Episode 33/500000 | Score: 1.00 | Avg Reward: 0.91 | Epsilon: 1.0000 | Time: 0.24s
2025-03-27 23:36:14,665 - INFO - Frames_seen 5720| Episode 34/500000 | Score: 0.00 | Avg Reward: 0.88 | Epsilon: 1.0000 | Time: 0.20s
2025-03-27 23:36:14,908 - INFO - Frames_seen 5891| Episode 35/500000 | Score: 1.00 | Avg Reward: 0.89 | Epsilon: 1.0000 | Time: 0.24s
2025-03-27 23:36:15,294 - INFO - Frames_seen 6166| Episode 36/500000 | Score: 3.00 | Avg Reward: 0.94 | Epsilon: 1.0000 | Time: 0.38s
2025-03-27 23:36:15,484 - INFO - Frames_seen 6299| Episode 37/500000 | Score: 0.00 | Avg Reward: 0.92 | Epsilon: 1.0000 | Time: 0.19s
2025-03-27 23:36:15,684 - INFO - Frames_seen 6438| Episode 38/500000 | Score: 0.00 | Avg Reward: 0.89 | Epsilon: 1.0000 | Time: 0.20s
2025-03-27 23:36:15,985 - INFO - Frames_seen 6646| Episode 39/500000 | Score: 2.00 | Avg Reward: 0.92 | Epsilon: 1.0000 | Time: 0.30s
2025-03-27 23:36:16,245 - INFO - Frames_seen 6828| Episode 40/500000 | Score: 1.00 | Avg Reward: 0.93 | Epsilon: 1.0000 | Time: 0.26s
2025-03-27 23:36:16,451 - INFO - Frames_seen 6972| Episode 41/500000 | Score: 0.00 | Avg Reward: 0.90 | Epsilon: 1.0000 | Time: 0.21s
2025-03-27 23:36:16,655 - INFO - Frames_seen 7103| Episode 42/500000 | Score: 0.00 | Avg Reward: 0.88 | Epsilon: 1.0000 | Time: 0.20s
2025-03-27 23:36:16,854 - INFO - Frames_seen 7236| Episode 43/500000 | Score: 0.00 | Avg Reward: 0.86 | Epsilon: 1.0000 | Time: 0.20s
2025-03-27 23:36:17,268 - INFO - Frames_seen 7532| Episode 44/500000 | Score: 4.00 | Avg Reward: 0.93 | Epsilon: 1.0000 | Time: 0.41s
2025-03-27 23:36:17,470 - INFO - Frames_seen 7673| Episode 45/500000 | Score: 0.00 | Avg Reward: 0.91 | Epsilon: 1.0000 | Time: 0.20s
2025-03-27 23:36:17,671 - INFO - Frames_seen 7814| Episode 46/500000 | Score: 0.00 | Avg Reward: 0.89 | Epsilon: 1.0000 | Time: 0.20s
2025-03-27 23:36:17,891 - INFO - Frames_seen 7968| Episode 47/500000 | Score: 1.00 | Avg Reward: 0.89 | Epsilon: 1.0000 | Time: 0.22s
2025-03-27 23:36:18,138 - INFO - Frames_seen 8141| Episode 48/500000 | Score: 1.00 | Avg Reward: 0.90 | Epsilon: 1.0000 | Time: 0.25s
2025-03-27 23:36:18,530 - INFO - Frames_seen 8415| Episode 49/500000 | Score: 4.00 | Avg Reward: 0.96 | Epsilon: 1.0000 | Time: 0.39s
2025-03-27 23:36:18,827 - INFO - Frames_seen 8624| Episode 50/500000 | Score: 2.00 | Avg Reward: 0.98 | Epsilon: 1.0000 | Time: 0.30s
2025-03-27 23:36:19,063 - INFO - Frames_seen 8784| Episode 51/500000 | Score: 1.00 | Avg Reward: 0.98 | Epsilon: 1.0000 | Time: 0.24s
2025-03-27 23:36:19,262 - INFO - Frames_seen 8913| Episode 52/500000 | Score: 0.00 | Avg Reward: 0.96 | Epsilon: 1.0000 | Time: 0.20s
2025-03-27 23:36:19,581 - INFO - Frames_seen 9124| Episode 53/500000 | Score: 2.00 | Avg Reward: 0.98 | Epsilon: 1.0000 | Time: 0.32s
2025-03-27 23:36:19,864 - INFO - Frames_seen 9261| Episode 54/500000 | Score: 0.00 | Avg Reward: 0.96 | Epsilon: 1.0000 | Time: 0.28s
2025-03-27 23:36:20,236 - INFO - Frames_seen 9473| Episode 55/500000 | Score: 2.00 | Avg Reward: 0.98 | Epsilon: 1.0000 | Time: 0.37s
2025-03-27 23:36:20,435 - INFO - Frames_seen 9608| Episode 56/500000 | Score: 0.00 | Avg Reward: 0.96 | Epsilon: 1.0000 | Time: 0.20s
2025-03-27 23:36:20,697 - INFO - Frames_seen 9786| Episode 57/500000 | Score: 1.00 | Avg Reward: 0.96 | Epsilon: 1.0000 | Time: 0.26s
2025-03-27 23:36:21,003 - INFO - Frames_seen 9995| Episode 58/500000 | Score: 2.00 | Avg Reward: 0.98 | Epsilon: 1.0000 | Time: 0.31s
Model saved!
