2025-03-28 01:15:49,190 - INFO - Frames_seen 282| Episode 1/500000 | Score: 3.00 | Avg Reward: 3.00 | Epsilon: 1.0000 | Time: 0.74s
2025-03-28 01:15:49,555 - INFO - Frames_seen 481| Episode 2/500000 | Score: 2.00 | Avg Reward: 2.50 | Epsilon: 1.0000 | Time: 0.36s
2025-03-28 01:15:49,754 - INFO - Frames_seen 616| Episode 3/500000 | Score: 0.00 | Avg Reward: 1.67 | Epsilon: 1.0000 | Time: 0.20s
2025-03-28 01:15:49,945 - INFO - Frames_seen 748| Episode 4/500000 | Score: 0.00 | Avg Reward: 1.25 | Epsilon: 1.0000 | Time: 0.19s
2025-03-28 01:15:50,159 - INFO - Frames_seen 892| Episode 5/500000 | Score: 0.00 | Avg Reward: 1.00 | Epsilon: 1.0000 | Time: 0.21s
2025-03-28 01:15:50,393 - INFO - Frames_seen 1050| Episode 6/500000 | Score: 0.00 | Avg Reward: 0.83 | Epsilon: 1.0000 | Time: 0.23s
2025-03-28 01:15:50,598 - INFO - Frames_seen 1192| Episode 7/500000 | Score: 0.00 | Avg Reward: 0.71 | Epsilon: 1.0000 | Time: 0.20s
2025-03-28 01:15:50,831 - INFO - Frames_seen 1356| Episode 8/500000 | Score: 1.00 | Avg Reward: 0.75 | Epsilon: 1.0000 | Time: 0.23s
2025-03-28 01:15:51,062 - INFO - Frames_seen 1517| Episode 9/500000 | Score: 1.00 | Avg Reward: 0.78 | Epsilon: 1.0000 | Time: 0.23s
2025-03-28 01:15:51,351 - INFO - Frames_seen 1697| Episode 10/500000 | Score: 1.00 | Avg Reward: 0.80 | Epsilon: 1.0000 | Time: 0.29s
2025-03-28 01:15:51,585 - INFO - Frames_seen 1856| Episode 11/500000 | Score: 1.00 | Avg Reward: 0.82 | Epsilon: 1.0000 | Time: 0.23s
2025-03-28 01:15:51,903 - INFO - Frames_seen 2070| Episode 12/500000 | Score: 2.00 | Avg Reward: 0.92 | Epsilon: 1.0000 | Time: 0.32s
2025-03-28 01:15:52,141 - INFO - Frames_seen 2234| Episode 13/500000 | Score: 1.00 | Avg Reward: 0.92 | Epsilon: 1.0000 | Time: 0.24s
2025-03-28 01:15:52,430 - INFO - Frames_seen 2436| Episode 14/500000 | Score: 2.00 | Avg Reward: 1.00 | Epsilon: 1.0000 | Time: 0.29s
2025-03-28 01:15:52,666 - INFO - Frames_seen 2601| Episode 15/500000 | Score: 1.00 | Avg Reward: 1.00 | Epsilon: 1.0000 | Time: 0.24s
2025-03-28 01:15:52,991 - INFO - Frames_seen 2832| Episode 16/500000 | Score: 3.00 | Avg Reward: 1.12 | Epsilon: 1.0000 | Time: 0.32s
2025-03-28 01:15:53,220 - INFO - Frames_seen 2982| Episode 17/500000 | Score: 0.00 | Avg Reward: 1.06 | Epsilon: 1.0000 | Time: 0.23s
2025-03-28 01:15:53,442 - INFO - Frames_seen 3138| Episode 18/500000 | Score: 0.00 | Avg Reward: 1.00 | Epsilon: 1.0000 | Time: 0.22s
2025-03-28 01:15:53,646 - INFO - Frames_seen 3278| Episode 19/500000 | Score: 0.00 | Avg Reward: 0.95 | Epsilon: 1.0000 | Time: 0.20s
2025-03-28 01:15:53,832 - INFO - Frames_seen 3407| Episode 20/500000 | Score: 0.00 | Avg Reward: 0.90 | Epsilon: 1.0000 | Time: 0.19s
2025-03-28 01:15:54,034 - INFO - Frames_seen 3547| Episode 21/500000 | Score: 0.00 | Avg Reward: 0.86 | Epsilon: 1.0000 | Time: 0.20s
2025-03-28 01:15:54,444 - INFO - Frames_seen 3806| Episode 22/500000 | Score: 3.00 | Avg Reward: 0.95 | Epsilon: 1.0000 | Time: 0.41s
2025-03-28 01:15:54,634 - INFO - Frames_seen 3935| Episode 23/500000 | Score: 0.00 | Avg Reward: 0.91 | Epsilon: 1.0000 | Time: 0.19s
2025-03-28 01:15:54,841 - INFO - Frames_seen 4075| Episode 24/500000 | Score: 0.00 | Avg Reward: 0.88 | Epsilon: 1.0000 | Time: 0.21s
2025-03-28 01:15:55,030 - INFO - Frames_seen 4204| Episode 25/500000 | Score: 0.00 | Avg Reward: 0.84 | Epsilon: 1.0000 | Time: 0.19s
2025-03-28 01:15:55,321 - INFO - Frames_seen 4399| Episode 26/500000 | Score: 2.00 | Avg Reward: 0.88 | Epsilon: 1.0000 | Time: 0.29s
2025-03-28 01:15:55,630 - INFO - Frames_seen 4615| Episode 27/500000 | Score: 3.00 | Avg Reward: 0.96 | Epsilon: 1.0000 | Time: 0.31s
2025-03-28 01:15:55,821 - INFO - Frames_seen 4745| Episode 28/500000 | Score: 0.00 | Avg Reward: 0.93 | Epsilon: 1.0000 | Time: 0.19s
2025-03-28 01:15:56,120 - INFO - Frames_seen 4953| Episode 29/500000 | Score: 2.00 | Avg Reward: 0.97 | Epsilon: 1.0000 | Time: 0.30s
2025-03-28 01:15:56,359 - INFO - Frames_seen 5119| Episode 30/500000 | Score: 1.00 | Avg Reward: 0.97 | Epsilon: 1.0000 | Time: 0.24s
2025-03-28 01:15:56,557 - INFO - Frames_seen 5253| Episode 31/500000 | Score: 0.00 | Avg Reward: 0.94 | Epsilon: 1.0000 | Time: 0.20s
2025-03-28 01:15:56,814 - INFO - Frames_seen 5431| Episode 32/500000 | Score: 1.00 | Avg Reward: 0.94 | Epsilon: 1.0000 | Time: 0.26s
2025-03-28 01:15:57,080 - INFO - Frames_seen 5615| Episode 33/500000 | Score: 1.00 | Avg Reward: 0.94 | Epsilon: 1.0000 | Time: 0.27s
2025-03-28 01:15:57,308 - INFO - Frames_seen 5775| Episode 34/500000 | Score: 1.00 | Avg Reward: 0.94 | Epsilon: 1.0000 | Time: 0.23s
2025-03-28 01:15:57,679 - INFO - Frames_seen 6038| Episode 35/500000 | Score: 4.00 | Avg Reward: 1.03 | Epsilon: 1.0000 | Time: 0.37s
2025-03-28 01:15:57,929 - INFO - Frames_seen 6214| Episode 36/500000 | Score: 1.00 | Avg Reward: 1.03 | Epsilon: 1.0000 | Time: 0.25s
2025-03-28 01:15:58,187 - INFO - Frames_seen 6390| Episode 37/500000 | Score: 1.00 | Avg Reward: 1.03 | Epsilon: 1.0000 | Time: 0.26s
2025-03-28 01:15:58,487 - INFO - Frames_seen 6601| Episode 38/500000 | Score: 2.00 | Avg Reward: 1.05 | Epsilon: 1.0000 | Time: 0.30s
2025-03-28 01:15:58,714 - INFO - Frames_seen 6760| Episode 39/500000 | Score: 1.00 | Avg Reward: 1.05 | Epsilon: 1.0000 | Time: 0.23s
2025-03-28 01:15:59,284 - INFO - Frames_seen 7142| Episode 40/500000 | Score: 9.00 | Avg Reward: 1.25 | Epsilon: 1.0000 | Time: 0.57s
2025-03-28 01:15:59,489 - INFO - Frames_seen 7281| Episode 41/500000 | Score: 0.00 | Avg Reward: 1.22 | Epsilon: 1.0000 | Time: 0.20s
2025-03-28 01:15:59,887 - INFO - Frames_seen 7547| Episode 42/500000 | Score: 3.00 | Avg Reward: 1.26 | Epsilon: 1.0000 | Time: 0.40s
2025-03-28 01:16:00,134 - INFO - Frames_seen 7713| Episode 43/500000 | Score: 1.00 | Avg Reward: 1.26 | Epsilon: 1.0000 | Time: 0.25s
2025-03-28 01:16:00,467 - INFO - Frames_seen 7945| Episode 44/500000 | Score: 3.00 | Avg Reward: 1.30 | Epsilon: 1.0000 | Time: 0.33s
2025-03-28 01:16:00,667 - INFO - Frames_seen 8080| Episode 45/500000 | Score: 0.00 | Avg Reward: 1.27 | Epsilon: 1.0000 | Time: 0.20s
2025-03-28 01:16:00,958 - INFO - Frames_seen 8282| Episode 46/500000 | Score: 2.00 | Avg Reward: 1.28 | Epsilon: 1.0000 | Time: 0.29s
2025-03-28 01:16:01,263 - INFO - Frames_seen 8490| Episode 47/500000 | Score: 2.00 | Avg Reward: 1.30 | Epsilon: 1.0000 | Time: 0.30s
2025-03-28 01:16:01,457 - INFO - Frames_seen 8622| Episode 48/500000 | Score: 0.00 | Avg Reward: 1.27 | Epsilon: 1.0000 | Time: 0.19s
2025-03-28 01:16:01,654 - INFO - Frames_seen 8756| Episode 49/500000 | Score: 0.00 | Avg Reward: 1.24 | Epsilon: 1.0000 | Time: 0.20s
2025-03-28 01:16:01,848 - INFO - Frames_seen 8888| Episode 50/500000 | Score: 0.00 | Avg Reward: 1.22 | Epsilon: 1.0000 | Time: 0.19s
2025-03-28 01:16:02,115 - INFO - Frames_seen 9070| Episode 51/500000 | Score: 1.00 | Avg Reward: 1.22 | Epsilon: 1.0000 | Time: 0.27s
2025-03-28 01:16:02,325 - INFO - Frames_seen 9215| Episode 52/500000 | Score: 0.00 | Avg Reward: 1.19 | Epsilon: 1.0000 | Time: 0.21s
2025-03-28 01:16:02,635 - INFO - Frames_seen 9427| Episode 53/500000 | Score: 2.00 | Avg Reward: 1.21 | Epsilon: 1.0000 | Time: 0.31s
2025-03-28 01:16:02,932 - INFO - Frames_seen 9634| Episode 54/500000 | Score: 2.00 | Avg Reward: 1.22 | Epsilon: 1.0000 | Time: 0.30s
2025-03-28 01:16:03,129 - INFO - Frames_seen 9768| Episode 55/500000 | Score: 0.00 | Avg Reward: 1.20 | Epsilon: 1.0000 | Time: 0.20s
2025-03-28 01:16:03,433 - INFO - Frames_seen 9969| Episode 56/500000 | Score: 2.00 | Avg Reward: 1.21 | Epsilon: 1.0000 | Time: 0.30s
Model saved!
2025-03-28 01:16:03,651 - INFO - Frames_seen 10100| Episode 57/500000 | Score: 0.00 | Avg Reward: 1.19 | Epsilon: 1.0000 | Time: 0.22s
2025-03-28 01:16:03,934 - INFO - Frames_seen 10292| Episode 58/500000 | Score: 2.00 | Avg Reward: 1.21 | Epsilon: 1.0000 | Time: 0.28s
2025-03-28 01:16:04,123 - INFO - Frames_seen 10420| Episode 59/500000 | Score: 0.00 | Avg Reward: 1.19 | Epsilon: 1.0000 | Time: 0.19s
2025-03-28 01:16:04,366 - INFO - Frames_seen 10586| Episode 60/500000 | Score: 1.00 | Avg Reward: 1.18 | Epsilon: 1.0000 | Time: 0.24s
2025-03-28 01:16:04,585 - INFO - Frames_seen 10736| Episode 61/500000 | Score: 0.00 | Avg Reward: 1.16 | Epsilon: 1.0000 | Time: 0.22s
