2025-03-28 09:50:05,634 - INFO - Frames_seen 234| Episode 1/500000 | Score: 3.00 | Avg Reward: 3.00 | Epsilon: 1.0000 | Time: 0.59s
2025-03-28 09:50:05,906 - INFO - Frames_seen 369| Episode 2/500000 | Score: 0.00 | Avg Reward: 1.50 | Epsilon: 1.0000 | Time: 0.27s
2025-03-28 09:50:06,208 - INFO - Frames_seen 549| Episode 3/500000 | Score: 1.00 | Avg Reward: 1.33 | Epsilon: 1.0000 | Time: 0.30s
2025-03-28 09:50:06,488 - INFO - Frames_seen 739| Episode 4/500000 | Score: 2.00 | Avg Reward: 1.50 | Epsilon: 1.0000 | Time: 0.28s
2025-03-28 09:50:06,760 - INFO - Frames_seen 916| Episode 5/500000 | Score: 1.00 | Avg Reward: 1.40 | Epsilon: 1.0000 | Time: 0.27s
2025-03-28 09:50:06,995 - INFO - Frames_seen 1073| Episode 6/500000 | Score: 1.00 | Avg Reward: 1.33 | Epsilon: 1.0000 | Time: 0.23s
2025-03-28 09:50:07,333 - INFO - Frames_seen 1279| Episode 7/500000 | Score: 2.00 | Avg Reward: 1.43 | Epsilon: 1.0000 | Time: 0.34s
2025-03-28 09:50:07,773 - INFO - Frames_seen 1575| Episode 8/500000 | Score: 4.00 | Avg Reward: 1.75 | Epsilon: 1.0000 | Time: 0.44s
2025-03-28 09:50:08,158 - INFO - Frames_seen 1830| Episode 9/500000 | Score: 3.00 | Avg Reward: 1.89 | Epsilon: 1.0000 | Time: 0.38s
2025-03-28 09:50:08,508 - INFO - Frames_seen 2071| Episode 10/500000 | Score: 2.00 | Avg Reward: 1.90 | Epsilon: 1.0000 | Time: 0.35s
2025-03-28 09:50:08,784 - INFO - Frames_seen 2262| Episode 11/500000 | Score: 1.00 | Avg Reward: 1.82 | Epsilon: 1.0000 | Time: 0.28s
2025-03-28 09:50:08,972 - INFO - Frames_seen 2388| Episode 12/500000 | Score: 0.00 | Avg Reward: 1.67 | Epsilon: 1.0000 | Time: 0.19s
2025-03-28 09:50:09,341 - INFO - Frames_seen 2645| Episode 13/500000 | Score: 3.00 | Avg Reward: 1.77 | Epsilon: 1.0000 | Time: 0.37s
2025-03-28 09:50:09,568 - INFO - Frames_seen 2802| Episode 14/500000 | Score: 1.00 | Avg Reward: 1.71 | Epsilon: 1.0000 | Time: 0.23s
2025-03-28 09:50:09,839 - INFO - Frames_seen 2991| Episode 15/500000 | Score: 2.00 | Avg Reward: 1.73 | Epsilon: 1.0000 | Time: 0.27s
2025-03-28 09:50:10,099 - INFO - Frames_seen 3169| Episode 16/500000 | Score: 1.00 | Avg Reward: 1.69 | Epsilon: 1.0000 | Time: 0.26s
2025-03-28 09:50:10,346 - INFO - Frames_seen 3334| Episode 17/500000 | Score: 1.00 | Avg Reward: 1.65 | Epsilon: 1.0000 | Time: 0.25s
2025-03-28 09:50:10,663 - INFO - Frames_seen 3552| Episode 18/500000 | Score: 2.00 | Avg Reward: 1.67 | Epsilon: 1.0000 | Time: 0.32s
2025-03-28 09:50:10,869 - INFO - Frames_seen 3689| Episode 19/500000 | Score: 0.00 | Avg Reward: 1.58 | Epsilon: 1.0000 | Time: 0.21s
2025-03-28 09:50:11,183 - INFO - Frames_seen 3902| Episode 20/500000 | Score: 2.00 | Avg Reward: 1.60 | Epsilon: 1.0000 | Time: 0.31s
2025-03-28 09:50:11,492 - INFO - Frames_seen 4110| Episode 21/500000 | Score: 2.00 | Avg Reward: 1.62 | Epsilon: 1.0000 | Time: 0.31s
2025-03-28 09:50:11,764 - INFO - Frames_seen 4290| Episode 22/500000 | Score: 1.00 | Avg Reward: 1.59 | Epsilon: 1.0000 | Time: 0.27s
2025-03-28 09:50:12,070 - INFO - Frames_seen 4473| Episode 23/500000 | Score: 2.00 | Avg Reward: 1.61 | Epsilon: 1.0000 | Time: 0.31s
2025-03-28 09:50:12,353 - INFO - Frames_seen 4609| Episode 24/500000 | Score: 0.00 | Avg Reward: 1.54 | Epsilon: 1.0000 | Time: 0.28s
2025-03-28 09:50:12,641 - INFO - Frames_seen 4774| Episode 25/500000 | Score: 0.00 | Avg Reward: 1.48 | Epsilon: 1.0000 | Time: 0.29s
2025-03-28 09:50:12,911 - INFO - Frames_seen 4913| Episode 26/500000 | Score: 0.00 | Avg Reward: 1.42 | Epsilon: 1.0000 | Time: 0.27s
2025-03-28 09:50:13,200 - INFO - Frames_seen 5051| Episode 27/500000 | Score: 0.00 | Avg Reward: 1.37 | Epsilon: 1.0000 | Time: 0.29s
2025-03-28 09:50:13,497 - INFO - Frames_seen 5186| Episode 28/500000 | Score: 0.00 | Avg Reward: 1.32 | Epsilon: 1.0000 | Time: 0.30s
2025-03-28 09:50:13,908 - INFO - Frames_seen 5365| Episode 29/500000 | Score: 1.00 | Avg Reward: 1.31 | Epsilon: 1.0000 | Time: 0.41s
2025-03-28 09:50:14,283 - INFO - Frames_seen 5543| Episode 30/500000 | Score: 1.00 | Avg Reward: 1.30 | Epsilon: 1.0000 | Time: 0.37s
2025-03-28 09:50:14,675 - INFO - Frames_seen 5743| Episode 31/500000 | Score: 2.00 | Avg Reward: 1.32 | Epsilon: 1.0000 | Time: 0.39s
2025-03-28 09:50:14,911 - INFO - Frames_seen 5889| Episode 32/500000 | Score: 0.00 | Avg Reward: 1.28 | Epsilon: 1.0000 | Time: 0.23s
2025-03-28 09:50:15,251 - INFO - Frames_seen 6093| Episode 33/500000 | Score: 2.00 | Avg Reward: 1.30 | Epsilon: 1.0000 | Time: 0.34s
2025-03-28 09:50:15,560 - INFO - Frames_seen 6261| Episode 34/500000 | Score: 1.00 | Avg Reward: 1.29 | Epsilon: 1.0000 | Time: 0.31s
2025-03-28 09:50:15,792 - INFO - Frames_seen 6407| Episode 35/500000 | Score: 0.00 | Avg Reward: 1.26 | Epsilon: 1.0000 | Time: 0.23s
2025-03-28 09:50:16,085 - INFO - Frames_seen 6585| Episode 36/500000 | Score: 1.00 | Avg Reward: 1.25 | Epsilon: 1.0000 | Time: 0.29s
2025-03-28 09:50:16,447 - INFO - Frames_seen 6797| Episode 37/500000 | Score: 2.00 | Avg Reward: 1.27 | Epsilon: 1.0000 | Time: 0.36s
2025-03-28 09:50:16,720 - INFO - Frames_seen 6927| Episode 38/500000 | Score: 0.00 | Avg Reward: 1.24 | Epsilon: 1.0000 | Time: 0.27s
2025-03-28 09:50:16,958 - INFO - Frames_seen 7071| Episode 39/500000 | Score: 0.00 | Avg Reward: 1.21 | Epsilon: 1.0000 | Time: 0.24s
2025-03-28 09:50:17,202 - INFO - Frames_seen 7204| Episode 40/500000 | Score: 0.00 | Avg Reward: 1.18 | Epsilon: 1.0000 | Time: 0.24s
2025-03-28 09:50:17,446 - INFO - Frames_seen 7342| Episode 41/500000 | Score: 0.00 | Avg Reward: 1.15 | Epsilon: 1.0000 | Time: 0.24s
2025-03-28 09:50:17,774 - INFO - Frames_seen 7562| Episode 42/500000 | Score: 3.00 | Avg Reward: 1.19 | Epsilon: 1.0000 | Time: 0.33s
2025-03-28 09:50:17,977 - INFO - Frames_seen 7699| Episode 43/500000 | Score: 0.00 | Avg Reward: 1.16 | Epsilon: 1.0000 | Time: 0.20s
2025-03-28 09:50:18,302 - INFO - Frames_seen 7908| Episode 44/500000 | Score: 2.00 | Avg Reward: 1.18 | Epsilon: 1.0000 | Time: 0.32s
2025-03-28 09:50:18,543 - INFO - Frames_seen 8069| Episode 45/500000 | Score: 1.00 | Avg Reward: 1.18 | Epsilon: 1.0000 | Time: 0.24s
2025-03-28 09:50:18,804 - INFO - Frames_seen 8231| Episode 46/500000 | Score: 1.00 | Avg Reward: 1.17 | Epsilon: 1.0000 | Time: 0.26s
2025-03-28 09:50:19,175 - INFO - Frames_seen 8463| Episode 47/500000 | Score: 2.00 | Avg Reward: 1.19 | Epsilon: 1.0000 | Time: 0.37s
2025-03-28 09:50:19,689 - INFO - Frames_seen 8738| Episode 48/500000 | Score: 3.00 | Avg Reward: 1.23 | Epsilon: 1.0000 | Time: 0.51s
2025-03-28 09:50:20,064 - INFO - Frames_seen 8948| Episode 49/500000 | Score: 2.00 | Avg Reward: 1.24 | Epsilon: 1.0000 | Time: 0.37s
2025-03-28 09:50:20,484 - INFO - Frames_seen 9157| Episode 50/500000 | Score: 2.00 | Avg Reward: 1.26 | Epsilon: 1.0000 | Time: 0.42s
