2025-03-28 10:15:12,425 - INFO - Frames_seen 166| Episode 1/500000 | Score: 1.00 | Avg Reward: 1.00 | Epsilon: 1.0000 | Time: 0.63s
2025-03-28 10:15:12,795 - INFO - Frames_seen 316| Episode 2/500000 | Score: 0.00 | Avg Reward: 0.50 | Epsilon: 1.0000 | Time: 0.37s
2025-03-28 10:15:13,075 - INFO - Frames_seen 455| Episode 3/500000 | Score: 0.00 | Avg Reward: 0.33 | Epsilon: 1.0000 | Time: 0.28s
2025-03-28 10:15:13,350 - INFO - Frames_seen 595| Episode 4/500000 | Score: 0.00 | Avg Reward: 0.25 | Epsilon: 1.0000 | Time: 0.27s
2025-03-28 10:15:13,798 - INFO - Frames_seen 802| Episode 5/500000 | Score: 2.00 | Avg Reward: 0.60 | Epsilon: 1.0000 | Time: 0.45s
2025-03-28 10:15:14,369 - INFO - Frames_seen 1086| Episode 6/500000 | Score: 4.00 | Avg Reward: 1.17 | Epsilon: 1.0000 | Time: 0.57s
2025-03-28 10:15:14,781 - INFO - Frames_seen 1294| Episode 7/500000 | Score: 2.00 | Avg Reward: 1.29 | Epsilon: 1.0000 | Time: 0.41s
2025-03-28 10:15:15,160 - INFO - Frames_seen 1475| Episode 8/500000 | Score: 1.00 | Avg Reward: 1.25 | Epsilon: 1.0000 | Time: 0.38s
2025-03-28 10:15:15,632 - INFO - Frames_seen 1711| Episode 9/500000 | Score: 2.00 | Avg Reward: 1.33 | Epsilon: 1.0000 | Time: 0.47s
2025-03-28 10:15:15,861 - INFO - Frames_seen 1838| Episode 10/500000 | Score: 0.00 | Avg Reward: 1.20 | Epsilon: 1.0000 | Time: 0.23s
2025-03-28 10:15:16,155 - INFO - Frames_seen 1975| Episode 11/500000 | Score: 0.00 | Avg Reward: 1.09 | Epsilon: 1.0000 | Time: 0.29s
2025-03-28 10:15:16,528 - INFO - Frames_seen 2165| Episode 12/500000 | Score: 1.00 | Avg Reward: 1.08 | Epsilon: 1.0000 | Time: 0.37s
2025-03-28 10:15:17,037 - INFO - Frames_seen 2446| Episode 13/500000 | Score: 3.00 | Avg Reward: 1.23 | Epsilon: 1.0000 | Time: 0.51s
2025-03-28 10:15:17,426 - INFO - Frames_seen 2647| Episode 14/500000 | Score: 2.00 | Avg Reward: 1.29 | Epsilon: 1.0000 | Time: 0.39s
2025-03-28 10:15:17,670 - INFO - Frames_seen 2779| Episode 15/500000 | Score: 0.00 | Avg Reward: 1.20 | Epsilon: 1.0000 | Time: 0.24s
2025-03-28 10:15:18,100 - INFO - Frames_seen 3017| Episode 16/500000 | Score: 3.00 | Avg Reward: 1.31 | Epsilon: 1.0000 | Time: 0.43s
2025-03-28 10:15:18,543 - INFO - Frames_seen 3251| Episode 17/500000 | Score: 3.00 | Avg Reward: 1.41 | Epsilon: 1.0000 | Time: 0.44s
2025-03-28 10:15:19,095 - INFO - Frames_seen 3548| Episode 18/500000 | Score: 4.00 | Avg Reward: 1.56 | Epsilon: 1.0000 | Time: 0.55s
2025-03-28 10:15:19,381 - INFO - Frames_seen 3706| Episode 19/500000 | Score: 1.00 | Avg Reward: 1.53 | Epsilon: 1.0000 | Time: 0.29s
2025-03-28 10:15:19,639 - INFO - Frames_seen 3845| Episode 20/500000 | Score: 0.00 | Avg Reward: 1.45 | Epsilon: 1.0000 | Time: 0.26s
2025-03-28 10:15:20,084 - INFO - Frames_seen 4095| Episode 21/500000 | Score: 3.00 | Avg Reward: 1.52 | Epsilon: 1.0000 | Time: 0.44s
2025-03-28 10:15:20,332 - INFO - Frames_seen 4229| Episode 22/500000 | Score: 0.00 | Avg Reward: 1.45 | Epsilon: 1.0000 | Time: 0.25s
2025-03-28 10:15:20,676 - INFO - Frames_seen 4423| Episode 23/500000 | Score: 1.00 | Avg Reward: 1.43 | Epsilon: 1.0000 | Time: 0.34s
2025-03-28 10:15:20,931 - INFO - Frames_seen 4553| Episode 24/500000 | Score: 0.00 | Avg Reward: 1.38 | Epsilon: 1.0000 | Time: 0.25s
2025-03-28 10:15:21,173 - INFO - Frames_seen 4686| Episode 25/500000 | Score: 0.00 | Avg Reward: 1.32 | Epsilon: 1.0000 | Time: 0.24s
2025-03-28 10:15:21,407 - INFO - Frames_seen 4811| Episode 26/500000 | Score: 0.00 | Avg Reward: 1.27 | Epsilon: 1.0000 | Time: 0.23s
2025-03-28 10:15:21,897 - INFO - Frames_seen 5086| Episode 27/500000 | Score: 3.00 | Avg Reward: 1.33 | Epsilon: 1.0000 | Time: 0.49s
2025-03-28 10:15:22,145 - INFO - Frames_seen 5219| Episode 28/500000 | Score: 0.00 | Avg Reward: 1.29 | Epsilon: 1.0000 | Time: 0.25s
2025-03-28 10:15:22,584 - INFO - Frames_seen 5455| Episode 29/500000 | Score: 3.00 | Avg Reward: 1.34 | Epsilon: 1.0000 | Time: 0.44s
2025-03-28 10:15:22,958 - INFO - Frames_seen 5656| Episode 30/500000 | Score: 2.00 | Avg Reward: 1.37 | Epsilon: 1.0000 | Time: 0.37s
2025-03-28 10:15:23,264 - INFO - Frames_seen 5817| Episode 31/500000 | Score: 1.00 | Avg Reward: 1.35 | Epsilon: 1.0000 | Time: 0.31s
2025-03-28 10:15:23,573 - INFO - Frames_seen 5977| Episode 32/500000 | Score: 1.00 | Avg Reward: 1.34 | Epsilon: 1.0000 | Time: 0.31s
2025-03-28 10:15:23,901 - INFO - Frames_seen 6140| Episode 33/500000 | Score: 1.00 | Avg Reward: 1.33 | Epsilon: 1.0000 | Time: 0.33s
2025-03-28 10:15:24,268 - INFO - Frames_seen 6326| Episode 34/500000 | Score: 1.00 | Avg Reward: 1.32 | Epsilon: 1.0000 | Time: 0.37s
2025-03-28 10:15:24,524 - INFO - Frames_seen 6454| Episode 35/500000 | Score: 0.00 | Avg Reward: 1.29 | Epsilon: 1.0000 | Time: 0.26s
2025-03-28 10:15:24,971 - INFO - Frames_seen 6692| Episode 36/500000 | Score: 3.00 | Avg Reward: 1.33 | Epsilon: 1.0000 | Time: 0.45s
2025-03-28 10:15:25,429 - INFO - Frames_seen 6932| Episode 37/500000 | Score: 3.00 | Avg Reward: 1.38 | Epsilon: 1.0000 | Time: 0.46s
2025-03-28 10:15:25,678 - INFO - Frames_seen 7065| Episode 38/500000 | Score: 0.00 | Avg Reward: 1.34 | Epsilon: 1.0000 | Time: 0.25s
2025-03-28 10:15:25,987 - INFO - Frames_seen 7232| Episode 39/500000 | Score: 1.00 | Avg Reward: 1.33 | Epsilon: 1.0000 | Time: 0.31s
2025-03-28 10:15:26,375 - INFO - Frames_seen 7439| Episode 40/500000 | Score: 2.00 | Avg Reward: 1.35 | Epsilon: 1.0000 | Time: 0.39s
2025-03-28 10:15:26,685 - INFO - Frames_seen 7595| Episode 41/500000 | Score: 1.00 | Avg Reward: 1.34 | Epsilon: 1.0000 | Time: 0.31s
2025-03-28 10:15:27,000 - INFO - Frames_seen 7757| Episode 42/500000 | Score: 1.00 | Avg Reward: 1.33 | Epsilon: 1.0000 | Time: 0.31s
2025-03-28 10:15:27,327 - INFO - Frames_seen 7923| Episode 43/500000 | Score: 1.00 | Avg Reward: 1.33 | Epsilon: 1.0000 | Time: 0.33s
2025-03-28 10:15:27,595 - INFO - Frames_seen 8061| Episode 44/500000 | Score: 0.00 | Avg Reward: 1.30 | Epsilon: 1.0000 | Time: 0.27s
2025-03-28 10:15:27,848 - INFO - Frames_seen 8196| Episode 45/500000 | Score: 0.00 | Avg Reward: 1.27 | Epsilon: 1.0000 | Time: 0.25s
2025-03-28 10:15:28,092 - INFO - Frames_seen 8326| Episode 46/500000 | Score: 0.00 | Avg Reward: 1.24 | Epsilon: 1.0000 | Time: 0.24s
2025-03-28 10:15:28,412 - INFO - Frames_seen 8494| Episode 47/500000 | Score: 1.00 | Avg Reward: 1.23 | Epsilon: 1.0000 | Time: 0.32s
2025-03-28 10:15:28,805 - INFO - Frames_seen 8699| Episode 48/500000 | Score: 2.00 | Avg Reward: 1.25 | Epsilon: 1.0000 | Time: 0.39s
2025-03-28 10:15:29,136 - INFO - Frames_seen 8873| Episode 49/500000 | Score: 1.00 | Avg Reward: 1.24 | Epsilon: 1.0000 | Time: 0.33s
2025-03-28 10:15:29,426 - INFO - Frames_seen 9032| Episode 50/500000 | Score: 1.00 | Avg Reward: 1.24 | Epsilon: 1.0000 | Time: 0.29s
2025-03-28 10:15:29,750 - INFO - Frames_seen 9205| Episode 51/500000 | Score: 1.00 | Avg Reward: 1.24 | Epsilon: 1.0000 | Time: 0.32s
2025-03-28 10:15:30,123 - INFO - Frames_seen 9416| Episode 52/500000 | Score: 2.00 | Avg Reward: 1.25 | Epsilon: 1.0000 | Time: 0.37s
2025-03-28 10:15:30,399 - INFO - Frames_seen 9560| Episode 53/500000 | Score: 0.00 | Avg Reward: 1.23 | Epsilon: 1.0000 | Time: 0.28s
2025-03-28 10:15:30,712 - INFO - Frames_seen 9728| Episode 54/500000 | Score: 1.00 | Avg Reward: 1.22 | Epsilon: 1.0000 | Time: 0.31s
2025-03-28 10:15:31,038 - INFO - Frames_seen 9902| Episode 55/500000 | Score: 1.00 | Avg Reward: 1.22 | Epsilon: 1.0000 | Time: 0.33s
Model saved!
2025-03-28 10:15:31,343 - INFO - Frames_seen 10035| Episode 56/500000 | Score: 0.00 | Avg Reward: 1.20 | Epsilon: 1.0000 | Time: 0.30s
2025-03-28 10:15:31,668 - INFO - Frames_seen 10216| Episode 57/500000 | Score: 1.00 | Avg Reward: 1.19 | Epsilon: 1.0000 | Time: 0.32s
2025-03-28 10:15:31,975 - INFO - Frames_seen 10376| Episode 58/500000 | Score: 1.00 | Avg Reward: 1.19 | Epsilon: 1.0000 | Time: 0.31s
2025-03-28 10:15:32,378 - INFO - Frames_seen 10598| Episode 59/500000 | Score: 2.00 | Avg Reward: 1.20 | Epsilon: 1.0000 | Time: 0.40s
2025-03-28 10:15:32,754 - INFO - Frames_seen 10805| Episode 60/500000 | Score: 2.00 | Avg Reward: 1.22 | Epsilon: 1.0000 | Time: 0.38s
2025-03-28 10:15:33,007 - INFO - Frames_seen 10936| Episode 61/500000 | Score: 0.00 | Avg Reward: 1.20 | Epsilon: 1.0000 | Time: 0.25s
2025-03-28 10:15:33,251 - INFO - Frames_seen 11066| Episode 62/500000 | Score: 0.00 | Avg Reward: 1.18 | Epsilon: 1.0000 | Time: 0.24s
2025-03-28 10:15:33,523 - INFO - Frames_seen 11213| Episode 63/500000 | Score: 0.00 | Avg Reward: 1.16 | Epsilon: 1.0000 | Time: 0.27s
2025-03-28 10:15:33,795 - INFO - Frames_seen 11356| Episode 64/500000 | Score: 0.00 | Avg Reward: 1.14 | Epsilon: 1.0000 | Time: 0.27s
2025-03-28 10:15:34,078 - INFO - Frames_seen 11500| Episode 65/500000 | Score: 0.00 | Avg Reward: 1.12 | Epsilon: 1.0000 | Time: 0.28s
2025-03-28 10:15:34,326 - INFO - Frames_seen 11636| Episode 66/500000 | Score: 0.00 | Avg Reward: 1.11 | Epsilon: 1.0000 | Time: 0.25s
2025-03-28 10:15:34,583 - INFO - Frames_seen 11768| Episode 67/500000 | Score: 0.00 | Avg Reward: 1.09 | Epsilon: 1.0000 | Time: 0.26s
2025-03-28 10:15:34,927 - INFO - Frames_seen 11956| Episode 68/500000 | Score: 2.00 | Avg Reward: 1.10 | Epsilon: 1.0000 | Time: 0.34s
2025-03-28 10:15:35,166 - INFO - Frames_seen 12081| Episode 69/500000 | Score: 0.00 | Avg Reward: 1.09 | Epsilon: 1.0000 | Time: 0.24s
2025-03-28 10:15:35,509 - INFO - Frames_seen 12263| Episode 70/500000 | Score: 1.00 | Avg Reward: 1.09 | Epsilon: 1.0000 | Time: 0.34s
2025-03-28 10:15:35,776 - INFO - Frames_seen 12400| Episode 71/500000 | Score: 0.00 | Avg Reward: 1.07 | Epsilon: 1.0000 | Time: 0.27s
2025-03-28 10:15:36,105 - INFO - Frames_seen 12566| Episode 72/500000 | Score: 1.00 | Avg Reward: 1.07 | Epsilon: 1.0000 | Time: 0.33s
2025-03-28 10:15:36,473 - INFO - Frames_seen 12773| Episode 73/500000 | Score: 2.00 | Avg Reward: 1.08 | Epsilon: 1.0000 | Time: 0.37s
