2025-03-28 10:21:15,967 - INFO - Frames_seen 181| Episode 1/500000 | Score: 2.00 | Avg Reward: 2.00 | Epsilon: 1.0000 | Time: 0.80s
2025-03-28 10:21:16,386 - INFO - Frames_seen 345| Episode 2/500000 | Score: 1.00 | Avg Reward: 1.50 | Epsilon: 1.0000 | Time: 0.42s
2025-03-28 10:21:16,889 - INFO - Frames_seen 597| Episode 3/500000 | Score: 3.00 | Avg Reward: 2.00 | Epsilon: 1.0000 | Time: 0.50s
2025-03-28 10:21:17,185 - INFO - Frames_seen 741| Episode 4/500000 | Score: 0.00 | Avg Reward: 1.50 | Epsilon: 1.0000 | Time: 0.30s
2025-03-28 10:21:17,468 - INFO - Frames_seen 878| Episode 5/500000 | Score: 0.00 | Avg Reward: 1.20 | Epsilon: 1.0000 | Time: 0.28s
2025-03-28 10:21:17,943 - INFO - Frames_seen 1131| Episode 6/500000 | Score: 3.00 | Avg Reward: 1.50 | Epsilon: 1.0000 | Time: 0.47s
2025-03-28 10:21:18,315 - INFO - Frames_seen 1316| Episode 7/500000 | Score: 1.00 | Avg Reward: 1.43 | Epsilon: 1.0000 | Time: 0.37s
2025-03-28 10:21:18,684 - INFO - Frames_seen 1510| Episode 8/500000 | Score: 2.00 | Avg Reward: 1.50 | Epsilon: 1.0000 | Time: 0.37s
2025-03-28 10:21:19,085 - INFO - Frames_seen 1709| Episode 9/500000 | Score: 2.00 | Avg Reward: 1.56 | Epsilon: 1.0000 | Time: 0.40s
2025-03-28 10:21:19,341 - INFO - Frames_seen 1847| Episode 10/500000 | Score: 0.00 | Avg Reward: 1.40 | Epsilon: 1.0000 | Time: 0.26s
2025-03-28 10:21:19,647 - INFO - Frames_seen 2005| Episode 11/500000 | Score: 1.00 | Avg Reward: 1.36 | Epsilon: 1.0000 | Time: 0.31s
2025-03-28 10:21:19,908 - INFO - Frames_seen 2147| Episode 12/500000 | Score: 0.00 | Avg Reward: 1.25 | Epsilon: 1.0000 | Time: 0.26s
