2025-03-30 21:16:16,940 - INFO - Timestep 796| Episode 1/500000 | Score: 2.00 | Avg Reward: 2.00 | Epsilon: 1.0000 | Time: 0.82s | Actions: Counter({2: 1})
2025-03-30 21:16:17,558 - INFO - Timestep 1289| Episode 2/500000 | Score: 0.00 | Avg Reward: 1.00 | Epsilon: 1.0000 | Time: 0.62s | Actions: Counter({2: 1, 3: 1})
2025-03-30 21:16:17,985 - INFO - Timestep 1891| Episode 3/500000 | Score: 1.00 | Avg Reward: 1.00 | Epsilon: 1.0000 | Time: 0.43s | Actions: Counter({2: 2, 3: 1})
2025-03-30 21:16:18,551 - INFO - Timestep 2697| Episode 4/500000 | Score: 2.00 | Avg Reward: 1.25 | Epsilon: 1.0000 | Time: 0.57s | Actions: Counter({2: 3, 3: 1})
2025-03-30 21:16:18,884 - INFO - Timestep 3192| Episode 5/500000 | Score: 0.00 | Avg Reward: 1.00 | Epsilon: 1.0000 | Time: 0.33s | Actions: Counter({2: 3, 3: 1, 1: 1})
2025-03-30 21:16:19,218 - INFO - Timestep 3687| Episode 6/500000 | Score: 0.00 | Avg Reward: 0.83 | Epsilon: 1.0000 | Time: 0.33s | Actions: Counter({2: 3, 1: 2, 3: 1})
2025-03-30 21:16:19,554 - INFO - Timestep 4181| Episode 7/500000 | Score: 0.00 | Avg Reward: 0.71 | Epsilon: 1.0000 | Time: 0.34s | Actions: Counter({2: 4, 1: 2, 3: 1})
2025-03-30 21:16:20,188 - INFO - Timestep 5064| Episode 8/500000 | Score: 2.00 | Avg Reward: 0.88 | Epsilon: 1.0000 | Time: 0.63s | Actions: Counter({2: 5, 1: 2, 3: 1})
2025-03-30 21:16:20,624 - INFO - Timestep 5671| Episode 9/500000 | Score: 1.00 | Avg Reward: 0.89 | Epsilon: 1.0000 | Time: 0.43s | Actions: Counter({2: 5, 1: 3, 3: 1})
2025-03-30 21:16:21,228 - INFO - Timestep 6497| Episode 10/500000 | Score: 2.00 | Avg Reward: 1.00 | Epsilon: 1.0000 | Time: 0.60s | Actions: Counter({2: 6, 1: 3, 3: 1})
2025-03-30 21:16:21,573 - INFO - Timestep 7007| Episode 11/500000 | Score: 0.00 | Avg Reward: 0.91 | Epsilon: 1.0000 | Time: 0.34s | Actions: Counter({2: 7, 1: 3, 3: 1})
2025-03-30 21:16:22,104 - INFO - Timestep 7811| Episode 12/500000 | Score: 2.00 | Avg Reward: 1.00 | Epsilon: 1.0000 | Time: 0.53s | Actions: Counter({2: 7, 1: 3, 3: 1, 0: 1})
2025-03-30 21:16:22,580 - INFO - Timestep 8514| Episode 13/500000 | Score: 1.00 | Avg Reward: 1.00 | Epsilon: 1.0000 | Time: 0.48s | Actions: Counter({2: 7, 1: 3, 0: 2, 3: 1})
2025-03-30 21:16:23,371 - INFO - Timestep 9704| Episode 14/500000 | Score: 4.00 | Avg Reward: 1.21 | Epsilon: 1.0000 | Time: 0.79s | Actions: Counter({2: 7, 1: 4, 0: 2, 3: 1})
Model saved!
2025-03-30 21:16:23,737 - INFO - Timestep 10208| Episode 15/500000 | Score: 0.00 | Avg Reward: 1.13 | Epsilon: 1.0000 | Time: 0.37s | Actions: Counter({2: 7, 1: 4, 0: 3, 3: 1})
2025-03-30 21:16:24,156 - INFO - Timestep 10835| Episode 16/500000 | Score: 1.00 | Avg Reward: 1.12 | Epsilon: 1.0000 | Time: 0.42s | Actions: Counter({2: 8, 1: 4, 0: 3, 3: 1})
2025-03-30 21:16:24,672 - INFO - Timestep 11566| Episode 17/500000 | Score: 2.00 | Avg Reward: 1.18 | Epsilon: 1.0000 | Time: 0.52s | Actions: Counter({2: 8, 1: 5, 0: 3, 3: 1})
2025-03-30 21:16:25,343 - INFO - Timestep 12569| Episode 18/500000 | Score: 3.00 | Avg Reward: 1.28 | Epsilon: 1.0000 | Time: 0.67s | Actions: Counter({2: 9, 1: 5, 0: 3, 3: 1})
2025-03-30 21:16:25,999 - INFO - Timestep 13469| Episode 19/500000 | Score: 2.00 | Avg Reward: 1.32 | Epsilon: 1.0000 | Time: 0.65s | Actions: Counter({2: 9, 1: 5, 0: 3, 3: 2})
2025-03-30 21:16:26,451 - INFO - Timestep 14092| Episode 20/500000 | Score: 1.00 | Avg Reward: 1.30 | Epsilon: 1.0000 | Time: 0.45s | Actions: Counter({2: 9, 1: 5, 3: 3, 0: 3})
2025-03-30 21:16:27,189 - INFO - Timestep 15197| Episode 21/500000 | Score: 4.00 | Avg Reward: 1.43 | Epsilon: 1.0000 | Time: 0.74s | Actions: Counter({2: 9, 1: 5, 3: 4, 0: 3})
2025-03-30 21:16:27,728 - INFO - Timestep 15999| Episode 22/500000 | Score: 2.00 | Avg Reward: 1.45 | Epsilon: 1.0000 | Time: 0.54s | Actions: Counter({2: 10, 1: 5, 3: 4, 0: 3})
2025-03-30 21:16:28,390 - INFO - Timestep 16889| Episode 23/500000 | Score: 2.00 | Avg Reward: 1.48 | Epsilon: 1.0000 | Time: 0.66s | Actions: Counter({2: 11, 1: 5, 3: 4, 0: 3})
2025-03-30 21:16:29,223 - INFO - Timestep 17863| Episode 24/500000 | Score: 3.00 | Avg Reward: 1.54 | Epsilon: 1.0000 | Time: 0.83s | Actions: Counter({2: 11, 1: 5, 3: 4, 0: 4})
2025-03-30 21:16:29,616 - INFO - Timestep 18358| Episode 25/500000 | Score: 0.00 | Avg Reward: 1.48 | Epsilon: 1.0000 | Time: 0.39s | Actions: Counter({2: 12, 1: 5, 3: 4, 0: 4})
2025-03-30 21:16:30,148 - INFO - Timestep 19083| Episode 26/500000 | Score: 2.00 | Avg Reward: 1.50 | Epsilon: 1.0000 | Time: 0.53s | Actions: Counter({2: 12, 3: 5, 1: 5, 0: 4})
2025-03-30 21:16:30,619 - INFO - Timestep 19692| Episode 27/500000 | Score: 1.00 | Avg Reward: 1.48 | Epsilon: 1.0000 | Time: 0.47s | Actions: Counter({2: 12, 3: 5, 1: 5, 0: 5})
Model saved!
2025-03-30 21:16:31,374 - INFO - Timestep 20595| Episode 28/500000 | Score: 2.00 | Avg Reward: 1.50 | Epsilon: 1.0000 | Time: 0.76s | Actions: Counter({2: 12, 3: 6, 1: 5, 0: 5})
2025-03-30 21:16:31,952 - INFO - Timestep 21285| Episode 29/500000 | Score: 1.00 | Avg Reward: 1.48 | Epsilon: 1.0000 | Time: 0.58s | Actions: Counter({2: 12, 3: 7, 1: 5, 0: 5})
2025-03-30 21:16:32,805 - INFO - Timestep 22383| Episode 30/500000 | Score: 3.00 | Avg Reward: 1.53 | Epsilon: 1.0000 | Time: 0.85s | Actions: Counter({2: 12, 3: 8, 1: 5, 0: 5})
2025-03-30 21:16:33,320 - INFO - Timestep 23082| Episode 31/500000 | Score: 1.00 | Avg Reward: 1.52 | Epsilon: 1.0000 | Time: 0.51s | Actions: Counter({2: 12, 3: 8, 1: 6, 0: 5})
2025-03-30 21:16:33,828 - INFO - Timestep 23768| Episode 32/500000 | Score: 1.00 | Avg Reward: 1.50 | Epsilon: 1.0000 | Time: 0.51s | Actions: Counter({2: 12, 3: 8, 1: 6, 0: 6})
2025-03-30 21:16:34,383 - INFO - Timestep 24570| Episode 33/500000 | Score: 2.00 | Avg Reward: 1.52 | Epsilon: 1.0000 | Time: 0.55s | Actions: Counter({2: 12, 3: 8, 1: 7, 0: 6})
2025-03-30 21:16:34,844 - INFO - Timestep 25254| Episode 34/500000 | Score: 1.00 | Avg Reward: 1.50 | Epsilon: 1.0000 | Time: 0.46s | Actions: Counter({2: 12, 3: 8, 1: 8, 0: 6})
2025-03-30 21:16:35,305 - INFO - Timestep 25943| Episode 35/500000 | Score: 1.00 | Avg Reward: 1.49 | Epsilon: 1.0000 | Time: 0.46s | Actions: Counter({2: 13, 3: 8, 1: 8, 0: 6})
2025-03-30 21:16:35,650 - INFO - Timestep 26447| Episode 36/500000 | Score: 0.00 | Avg Reward: 1.44 | Epsilon: 1.0000 | Time: 0.34s | Actions: Counter({2: 13, 1: 9, 3: 8, 0: 6})
2025-03-30 21:16:36,125 - INFO - Timestep 26957| Episode 37/500000 | Score: 0.00 | Avg Reward: 1.41 | Epsilon: 1.0000 | Time: 0.47s | Actions: Counter({2: 14, 1: 9, 3: 8, 0: 6})
2025-03-30 21:16:36,814 - INFO - Timestep 27829| Episode 38/500000 | Score: 2.00 | Avg Reward: 1.42 | Epsilon: 1.0000 | Time: 0.69s | Actions: Counter({2: 14, 3: 9, 1: 9, 0: 6})
2025-03-30 21:16:37,351 - INFO - Timestep 28509| Episode 39/500000 | Score: 1.00 | Avg Reward: 1.41 | Epsilon: 1.0000 | Time: 0.54s | Actions: Counter({2: 14, 1: 10, 3: 9, 0: 6})
2025-03-30 21:16:37,774 - INFO - Timestep 29010| Episode 40/500000 | Score: 0.00 | Avg Reward: 1.38 | Epsilon: 1.0000 | Time: 0.42s | Actions: Counter({2: 14, 1: 10, 3: 9, 0: 7})
2025-03-30 21:16:38,440 - INFO - Timestep 29813| Episode 41/500000 | Score: 2.00 | Avg Reward: 1.39 | Epsilon: 1.0000 | Time: 0.67s | Actions: Counter({2: 14, 1: 11, 3: 9, 0: 7})
Model saved!
2025-03-30 21:16:38,938 - INFO - Timestep 30452| Episode 42/500000 | Score: 1.00 | Avg Reward: 1.38 | Epsilon: 1.0000 | Time: 0.50s | Actions: Counter({2: 15, 1: 11, 3: 9, 0: 7})
2025-03-30 21:16:39,312 - INFO - Timestep 30955| Episode 43/500000 | Score: 0.00 | Avg Reward: 1.35 | Epsilon: 1.0000 | Time: 0.37s | Actions: Counter({2: 16, 1: 11, 3: 9, 0: 7})
2025-03-30 21:16:39,698 - INFO - Timestep 31470| Episode 44/500000 | Score: 0.00 | Avg Reward: 1.32 | Epsilon: 1.0000 | Time: 0.39s | Actions: Counter({2: 16, 1: 11, 3: 9, 0: 8})
