2025-03-30 21:20:47,218 - INFO - Timestep 512| Episode 1/500000 | Score: 0.00 | Avg Reward: 0.00 | Epsilon: 1.0000 | Time: 0.62s | Actions: Counter({0: 1})
2025-03-30 21:20:47,803 - INFO - Timestep 1193| Episode 2/500000 | Score: 1.00 | Avg Reward: 0.50 | Epsilon: 1.0000 | Time: 0.58s | Actions: Counter({0: 1, 2: 1})
2025-03-30 21:20:48,137 - INFO - Timestep 1686| Episode 3/500000 | Score: 0.00 | Avg Reward: 0.33 | Epsilon: 1.0000 | Time: 0.33s | Actions: Counter({2: 2, 0: 1})
2025-03-30 21:20:48,479 - INFO - Timestep 2182| Episode 4/500000 | Score: 0.00 | Avg Reward: 0.25 | Epsilon: 1.0000 | Time: 0.34s | Actions: Counter({0: 2, 2: 2})
2025-03-30 21:20:48,816 - INFO - Timestep 2687| Episode 5/500000 | Score: 0.00 | Avg Reward: 0.20 | Epsilon: 1.0000 | Time: 0.34s | Actions: Counter({0: 3, 2: 2})
2025-03-30 21:20:49,221 - INFO - Timestep 3295| Episode 6/500000 | Score: 1.00 | Avg Reward: 0.33 | Epsilon: 1.0000 | Time: 0.40s | Actions: Counter({0: 3, 2: 2, 3: 1})
2025-03-30 21:20:49,851 - INFO - Timestep 4098| Episode 7/500000 | Score: 2.00 | Avg Reward: 0.57 | Epsilon: 1.0000 | Time: 0.63s | Actions: Counter({0: 4, 2: 2, 3: 1})
2025-03-30 21:20:50,223 - INFO - Timestep 4591| Episode 8/500000 | Score: 0.00 | Avg Reward: 0.50 | Epsilon: 1.0000 | Time: 0.37s | Actions: Counter({0: 4, 2: 3, 3: 1})
2025-03-30 21:20:50,631 - INFO - Timestep 5194| Episode 9/500000 | Score: 1.00 | Avg Reward: 0.56 | Epsilon: 1.0000 | Time: 0.41s | Actions: Counter({0: 4, 2: 3, 3: 1, 1: 1})
2025-03-30 21:20:51,014 - INFO - Timestep 5688| Episode 10/500000 | Score: 0.00 | Avg Reward: 0.50 | Epsilon: 1.0000 | Time: 0.38s | Actions: Counter({0: 4, 2: 3, 1: 2, 3: 1})
2025-03-30 21:20:51,442 - INFO - Timestep 6313| Episode 11/500000 | Score: 1.00 | Avg Reward: 0.55 | Epsilon: 1.0000 | Time: 0.43s | Actions: Counter({0: 5, 2: 3, 1: 2, 3: 1})
2025-03-30 21:20:51,900 - INFO - Timestep 7004| Episode 12/500000 | Score: 1.00 | Avg Reward: 0.58 | Epsilon: 1.0000 | Time: 0.46s | Actions: Counter({0: 5, 2: 4, 1: 2, 3: 1})
2025-03-30 21:20:52,360 - INFO - Timestep 7697| Episode 13/500000 | Score: 1.00 | Avg Reward: 0.62 | Epsilon: 1.0000 | Time: 0.46s | Actions: Counter({0: 5, 2: 4, 1: 3, 3: 1})
2025-03-30 21:20:52,696 - INFO - Timestep 8191| Episode 14/500000 | Score: 0.00 | Avg Reward: 0.57 | Epsilon: 1.0000 | Time: 0.34s | Actions: Counter({0: 6, 2: 4, 1: 3, 3: 1})
2025-03-30 21:20:53,107 - INFO - Timestep 8808| Episode 15/500000 | Score: 1.00 | Avg Reward: 0.60 | Epsilon: 1.0000 | Time: 0.41s | Actions: Counter({0: 6, 2: 4, 1: 3, 3: 2})
2025-03-30 21:20:53,443 - INFO - Timestep 9304| Episode 16/500000 | Score: 0.00 | Avg Reward: 0.56 | Epsilon: 1.0000 | Time: 0.34s | Actions: Counter({0: 7, 2: 4, 1: 3, 3: 2})
2025-03-30 21:20:53,858 - INFO - Timestep 9925| Episode 17/500000 | Score: 1.00 | Avg Reward: 0.59 | Epsilon: 1.0000 | Time: 0.41s | Actions: Counter({0: 8, 2: 4, 1: 3, 3: 2})
Model saved!
2025-03-30 21:20:54,332 - INFO - Timestep 10601| Episode 18/500000 | Score: 1.00 | Avg Reward: 0.61 | Epsilon: 1.0000 | Time: 0.47s | Actions: Counter({0: 8, 2: 4, 3: 3, 1: 3})
2025-03-30 21:20:54,674 - INFO - Timestep 11104| Episode 19/500000 | Score: 0.00 | Avg Reward: 0.58 | Epsilon: 1.0000 | Time: 0.34s | Actions: Counter({0: 8, 2: 4, 3: 4, 1: 3})
2025-03-30 21:20:55,083 - INFO - Timestep 11705| Episode 20/500000 | Score: 1.00 | Avg Reward: 0.60 | Epsilon: 1.0000 | Time: 0.41s | Actions: Counter({0: 8, 2: 5, 3: 4, 1: 3})
2025-03-30 21:20:55,424 - INFO - Timestep 12207| Episode 21/500000 | Score: 0.00 | Avg Reward: 0.57 | Epsilon: 1.0000 | Time: 0.34s | Actions: Counter({0: 9, 2: 5, 3: 4, 1: 3})
2025-03-30 21:20:56,166 - INFO - Timestep 13221| Episode 22/500000 | Score: 3.00 | Avg Reward: 0.68 | Epsilon: 1.0000 | Time: 0.74s | Actions: Counter({0: 9, 2: 6, 3: 4, 1: 3})
2025-03-30 21:20:56,505 - INFO - Timestep 13716| Episode 23/500000 | Score: 0.00 | Avg Reward: 0.65 | Epsilon: 1.0000 | Time: 0.34s | Actions: Counter({0: 9, 2: 6, 3: 5, 1: 3})
2025-03-30 21:20:57,135 - INFO - Timestep 14641| Episode 24/500000 | Score: 3.00 | Avg Reward: 0.75 | Epsilon: 1.0000 | Time: 0.63s | Actions: Counter({0: 9, 2: 6, 3: 6, 1: 3})
2025-03-30 21:20:57,677 - INFO - Timestep 15438| Episode 25/500000 | Score: 2.00 | Avg Reward: 0.80 | Epsilon: 1.0000 | Time: 0.54s | Actions: Counter({0: 9, 2: 7, 3: 6, 1: 3})
2025-03-30 21:20:58,007 - INFO - Timestep 15936| Episode 26/500000 | Score: 0.00 | Avg Reward: 0.77 | Epsilon: 1.0000 | Time: 0.33s | Actions: Counter({0: 9, 2: 8, 3: 6, 1: 3})
2025-03-30 21:20:58,345 - INFO - Timestep 16446| Episode 27/500000 | Score: 0.00 | Avg Reward: 0.74 | Epsilon: 1.0000 | Time: 0.34s | Actions: Counter({0: 10, 2: 8, 3: 6, 1: 3})
2025-03-30 21:20:58,752 - INFO - Timestep 16957| Episode 28/500000 | Score: 0.00 | Avg Reward: 0.71 | Epsilon: 1.0000 | Time: 0.41s | Actions: Counter({0: 10, 2: 8, 3: 7, 1: 3})
2025-03-30 21:20:59,134 - INFO - Timestep 17456| Episode 29/500000 | Score: 0.00 | Avg Reward: 0.69 | Epsilon: 1.0000 | Time: 0.38s | Actions: Counter({0: 10, 2: 8, 3: 8, 1: 3})
2025-03-30 21:20:59,738 - INFO - Timestep 18338| Episode 30/500000 | Score: 2.00 | Avg Reward: 0.73 | Epsilon: 1.0000 | Time: 0.60s | Actions: Counter({0: 10, 2: 8, 3: 8, 1: 4})
