2025-03-30 21:25:39,835 - INFO - Timestep 509| Episode 1/500000 | Score: 0.00 | Avg Reward: 0.00 | Epsilon: 1.0000 | Time: 0.61s | Actions: Counter({3: 1})
2025-03-30 21:25:40,363 - INFO - Timestep 1113| Episode 2/500000 | Score: 1.00 | Avg Reward: 0.50 | Epsilon: 1.0000 | Time: 0.53s | Actions: Counter({3: 1, 1: 1})
2025-03-30 21:25:40,859 - INFO - Timestep 1801| Episode 3/500000 | Score: 1.00 | Avg Reward: 0.67 | Epsilon: 1.0000 | Time: 0.50s | Actions: Counter({3: 1, 1: 1, 2: 1})
2025-03-30 21:25:41,218 - INFO - Timestep 2299| Episode 4/500000 | Score: 0.00 | Avg Reward: 0.50 | Epsilon: 1.0000 | Time: 0.36s | Actions: Counter({3: 2, 1: 1, 2: 1})
2025-03-30 21:25:41,559 - INFO - Timestep 2810| Episode 5/500000 | Score: 0.00 | Avg Reward: 0.40 | Epsilon: 1.0000 | Time: 0.34s | Actions: Counter({3: 2, 2: 2, 1: 1})
2025-03-30 21:25:42,023 - INFO - Timestep 3497| Episode 6/500000 | Score: 1.00 | Avg Reward: 0.50 | Epsilon: 1.0000 | Time: 0.46s | Actions: Counter({3: 2, 2: 2, 1: 1, 0: 1})
2025-03-30 21:25:42,683 - INFO - Timestep 4481| Episode 7/500000 | Score: 3.00 | Avg Reward: 0.86 | Epsilon: 1.0000 | Time: 0.66s | Actions: Counter({3: 2, 1: 2, 2: 2, 0: 1})
2025-03-30 21:25:43,013 - INFO - Timestep 4979| Episode 8/500000 | Score: 0.00 | Avg Reward: 0.75 | Epsilon: 1.0000 | Time: 0.33s | Actions: Counter({3: 3, 1: 2, 2: 2, 0: 1})
2025-03-30 21:25:43,351 - INFO - Timestep 5488| Episode 9/500000 | Score: 0.00 | Avg Reward: 0.67 | Epsilon: 1.0000 | Time: 0.34s | Actions: Counter({3: 4, 1: 2, 2: 2, 0: 1})
2025-03-30 21:25:43,812 - INFO - Timestep 6182| Episode 10/500000 | Score: 1.00 | Avg Reward: 0.70 | Epsilon: 1.0000 | Time: 0.46s | Actions: Counter({3: 4, 1: 2, 2: 2, 0: 2})
2025-03-30 21:25:44,148 - INFO - Timestep 6679| Episode 11/500000 | Score: 0.00 | Avg Reward: 0.64 | Epsilon: 1.0000 | Time: 0.34s | Actions: Counter({3: 4, 1: 3, 2: 2, 0: 2})
2025-03-30 21:25:44,815 - INFO - Timestep 7610| Episode 12/500000 | Score: 3.00 | Avg Reward: 0.83 | Epsilon: 1.0000 | Time: 0.67s | Actions: Counter({3: 4, 1: 3, 0: 3, 2: 2})
2025-03-30 21:25:45,749 - INFO - Timestep 8936| Episode 13/500000 | Score: 5.00 | Avg Reward: 1.15 | Epsilon: 1.0000 | Time: 0.93s | Actions: Counter({3: 4, 1: 4, 0: 3, 2: 2})
2025-03-30 21:25:46,325 - INFO - Timestep 9729| Episode 14/500000 | Score: 2.00 | Avg Reward: 1.21 | Epsilon: 1.0000 | Time: 0.57s | Actions: Counter({1: 5, 3: 4, 0: 3, 2: 2})
Model saved!
2025-03-30 21:25:46,988 - INFO - Timestep 10729| Episode 15/500000 | Score: 3.00 | Avg Reward: 1.33 | Epsilon: 1.0000 | Time: 0.66s | Actions: Counter({1: 5, 3: 4, 2: 3, 0: 3})
2025-03-30 21:25:47,324 - INFO - Timestep 11228| Episode 16/500000 | Score: 0.00 | Avg Reward: 1.25 | Epsilon: 1.0000 | Time: 0.33s | Actions: Counter({3: 5, 1: 5, 2: 3, 0: 3})
2025-03-30 21:25:47,856 - INFO - Timestep 12038| Episode 17/500000 | Score: 2.00 | Avg Reward: 1.29 | Epsilon: 1.0000 | Time: 0.53s | Actions: Counter({3: 5, 1: 5, 0: 4, 2: 3})
2025-03-30 21:25:48,261 - INFO - Timestep 12655| Episode 18/500000 | Score: 1.00 | Avg Reward: 1.28 | Epsilon: 1.0000 | Time: 0.40s | Actions: Counter({3: 5, 1: 5, 0: 5, 2: 3})
2025-03-30 21:25:48,986 - INFO - Timestep 13763| Episode 19/500000 | Score: 4.00 | Avg Reward: 1.42 | Epsilon: 1.0000 | Time: 0.72s | Actions: Counter({1: 6, 3: 5, 0: 5, 2: 3})
2025-03-30 21:25:49,479 - INFO - Timestep 14500| Episode 20/500000 | Score: 2.00 | Avg Reward: 1.45 | Epsilon: 1.0000 | Time: 0.49s | Actions: Counter({1: 7, 3: 5, 0: 5, 2: 3})
2025-03-30 21:25:50,056 - INFO - Timestep 15364| Episode 21/500000 | Score: 2.00 | Avg Reward: 1.48 | Epsilon: 1.0000 | Time: 0.58s | Actions: Counter({1: 7, 3: 5, 0: 5, 2: 4})
2025-03-30 21:25:50,393 - INFO - Timestep 15867| Episode 22/500000 | Score: 0.00 | Avg Reward: 1.41 | Epsilon: 1.0000 | Time: 0.34s | Actions: Counter({1: 7, 3: 6, 0: 5, 2: 4})
2025-03-30 21:25:50,737 - INFO - Timestep 16365| Episode 23/500000 | Score: 0.00 | Avg Reward: 1.35 | Epsilon: 1.0000 | Time: 0.34s | Actions: Counter({1: 8, 3: 6, 0: 5, 2: 4})
2025-03-30 21:25:51,372 - INFO - Timestep 17189| Episode 24/500000 | Score: 2.00 | Avg Reward: 1.38 | Epsilon: 1.0000 | Time: 0.64s | Actions: Counter({1: 8, 3: 7, 0: 5, 2: 4})
2025-03-30 21:25:51,921 - INFO - Timestep 17878| Episode 25/500000 | Score: 1.00 | Avg Reward: 1.36 | Epsilon: 1.0000 | Time: 0.55s | Actions: Counter({1: 9, 3: 7, 0: 5, 2: 4})
2025-03-30 21:25:52,591 - INFO - Timestep 18796| Episode 26/500000 | Score: 3.00 | Avg Reward: 1.42 | Epsilon: 1.0000 | Time: 0.67s | Actions: Counter({1: 9, 3: 8, 0: 5, 2: 4})
2025-03-30 21:25:52,926 - INFO - Timestep 19296| Episode 27/500000 | Score: 0.00 | Avg Reward: 1.37 | Epsilon: 1.0000 | Time: 0.33s | Actions: Counter({1: 9, 3: 8, 0: 6, 2: 4})
2025-03-30 21:25:53,280 - INFO - Timestep 19790| Episode 28/500000 | Score: 0.00 | Avg Reward: 1.32 | Epsilon: 1.0000 | Time: 0.35s | Actions: Counter({1: 9, 3: 8, 0: 6, 2: 5})
Model saved!
