2025-03-30 21:57:54,916 - INFO - Timestep 492| Episode 1/500000 | Score: 0.00 | Avg Reward: 0.00 | Epsilon: 1.0000 | Time: 0.75s | Actions: Counter({1: 1})
2025-03-30 21:57:55,657 - INFO - Timestep 1282| Episode 2/500000 | Score: 2.00 | Avg Reward: 1.00 | Epsilon: 1.0000 | Time: 0.74s | Actions: Counter({1: 1, 3: 1})
2025-03-30 21:57:56,090 - INFO - Timestep 1896| Episode 3/500000 | Score: 1.00 | Avg Reward: 1.00 | Epsilon: 1.0000 | Time: 0.43s | Actions: Counter({1: 1, 3: 1, 2: 1})
2025-03-30 21:57:56,731 - INFO - Timestep 2773| Episode 4/500000 | Score: 2.00 | Avg Reward: 1.25 | Epsilon: 1.0000 | Time: 0.64s | Actions: Counter({3: 2, 1: 1, 2: 1})
2025-03-30 21:57:57,145 - INFO - Timestep 3272| Episode 5/500000 | Score: 0.00 | Avg Reward: 1.00 | Epsilon: 1.0000 | Time: 0.41s | Actions: Counter({3: 2, 2: 2, 1: 1})
2025-03-30 21:57:57,879 - INFO - Timestep 4068| Episode 6/500000 | Score: 2.00 | Avg Reward: 1.17 | Epsilon: 1.0000 | Time: 0.73s | Actions: Counter({2: 3, 3: 2, 1: 1})
2025-03-30 21:57:58,787 - INFO - Timestep 4873| Episode 7/500000 | Score: 2.00 | Avg Reward: 1.29 | Epsilon: 1.0000 | Time: 0.91s | Actions: Counter({2: 3, 3: 2, 1: 1, 0: 1})
2025-03-30 21:57:59,543 - INFO - Timestep 5866| Episode 8/500000 | Score: 3.00 | Avg Reward: 1.50 | Epsilon: 1.0000 | Time: 0.76s | Actions: Counter({3: 3, 2: 3, 1: 1, 0: 1})
2025-03-30 21:58:00,052 - INFO - Timestep 6548| Episode 9/500000 | Score: 1.00 | Avg Reward: 1.44 | Epsilon: 1.0000 | Time: 0.51s | Actions: Counter({3: 3, 2: 3, 1: 2, 0: 1})
2025-03-30 21:58:00,655 - INFO - Timestep 7364| Episode 10/500000 | Score: 2.00 | Avg Reward: 1.50 | Epsilon: 1.0000 | Time: 0.60s | Actions: Counter({3: 3, 2: 3, 1: 2, 0: 2})
2025-03-30 21:58:01,170 - INFO - Timestep 7969| Episode 11/500000 | Score: 1.00 | Avg Reward: 1.45 | Epsilon: 1.0000 | Time: 0.51s | Actions: Counter({1: 3, 3: 3, 2: 3, 0: 2})
2025-03-30 21:58:01,534 - INFO - Timestep 8459| Episode 12/500000 | Score: 0.00 | Avg Reward: 1.33 | Epsilon: 1.0000 | Time: 0.36s | Actions: Counter({1: 3, 3: 3, 2: 3, 0: 3})
2025-03-30 21:58:01,896 - INFO - Timestep 8964| Episode 13/500000 | Score: 0.00 | Avg Reward: 1.23 | Epsilon: 1.0000 | Time: 0.36s | Actions: Counter({1: 4, 3: 3, 2: 3, 0: 3})
2025-03-30 21:58:02,403 - INFO - Timestep 9661| Episode 14/500000 | Score: 1.00 | Avg Reward: 1.21 | Epsilon: 1.0000 | Time: 0.51s | Actions: Counter({1: 4, 3: 4, 2: 3, 0: 3})
Model saved!
2025-03-30 21:58:02,983 - INFO - Timestep 10458| Episode 15/500000 | Score: 2.00 | Avg Reward: 1.27 | Epsilon: 1.0000 | Time: 0.58s | Actions: Counter({1: 4, 3: 4, 2: 4, 0: 3})
2025-03-30 21:58:03,548 - INFO - Timestep 11253| Episode 16/500000 | Score: 2.00 | Avg Reward: 1.31 | Epsilon: 1.0000 | Time: 0.57s | Actions: Counter({1: 4, 3: 4, 2: 4, 0: 4})
2025-03-30 21:58:04,115 - INFO - Timestep 12042| Episode 17/500000 | Score: 2.00 | Avg Reward: 1.35 | Epsilon: 1.0000 | Time: 0.57s | Actions: Counter({3: 5, 1: 4, 2: 4, 0: 4})
2025-03-30 21:58:04,481 - INFO - Timestep 12532| Episode 18/500000 | Score: 0.00 | Avg Reward: 1.28 | Epsilon: 1.0000 | Time: 0.37s | Actions: Counter({3: 5, 0: 5, 1: 4, 2: 4})
2025-03-30 21:58:05,285 - INFO - Timestep 13653| Episode 19/500000 | Score: 4.00 | Avg Reward: 1.42 | Epsilon: 1.0000 | Time: 0.80s | Actions: Counter({3: 6, 0: 5, 1: 4, 2: 4})
2025-03-30 21:58:05,631 - INFO - Timestep 14144| Episode 20/500000 | Score: 0.00 | Avg Reward: 1.35 | Epsilon: 1.0000 | Time: 0.35s | Actions: Counter({3: 7, 0: 5, 1: 4, 2: 4})
2025-03-30 21:58:06,193 - INFO - Timestep 14948| Episode 21/500000 | Score: 2.00 | Avg Reward: 1.38 | Epsilon: 1.0000 | Time: 0.56s | Actions: Counter({3: 7, 1: 5, 0: 5, 2: 4})
2025-03-30 21:58:06,731 - INFO - Timestep 15752| Episode 22/500000 | Score: 2.00 | Avg Reward: 1.41 | Epsilon: 1.0000 | Time: 0.54s | Actions: Counter({3: 7, 1: 5, 2: 5, 0: 5})
2025-03-30 21:58:07,159 - INFO - Timestep 16379| Episode 23/500000 | Score: 1.00 | Avg Reward: 1.39 | Epsilon: 1.0000 | Time: 0.43s | Actions: Counter({3: 7, 1: 6, 2: 5, 0: 5})
2025-03-30 21:58:07,587 - INFO - Timestep 17004| Episode 24/500000 | Score: 1.00 | Avg Reward: 1.38 | Epsilon: 1.0000 | Time: 0.43s | Actions: Counter({3: 7, 1: 6, 2: 6, 0: 5})
2025-03-30 21:58:07,921 - INFO - Timestep 17493| Episode 25/500000 | Score: 0.00 | Avg Reward: 1.32 | Epsilon: 1.0000 | Time: 0.33s | Actions: Counter({1: 7, 3: 7, 2: 6, 0: 5})
2025-03-30 21:58:08,275 - INFO - Timestep 18000| Episode 26/500000 | Score: 0.00 | Avg Reward: 1.27 | Epsilon: 1.0000 | Time: 0.35s | Actions: Counter({1: 8, 3: 7, 2: 6, 0: 5})
2025-03-30 21:58:08,748 - INFO - Timestep 18691| Episode 27/500000 | Score: 1.00 | Avg Reward: 1.26 | Epsilon: 1.0000 | Time: 0.47s | Actions: Counter({1: 8, 3: 7, 2: 6, 0: 6})
2025-03-30 21:58:09,102 - INFO - Timestep 19186| Episode 28/500000 | Score: 0.00 | Avg Reward: 1.21 | Epsilon: 1.0000 | Time: 0.35s | Actions: Counter({1: 8, 3: 7, 2: 7, 0: 6})
2025-03-30 21:58:09,580 - INFO - Timestep 19870| Episode 29/500000 | Score: 1.00 | Avg Reward: 1.21 | Epsilon: 1.0000 | Time: 0.48s | Actions: Counter({1: 8, 2: 8, 3: 7, 0: 6})
Model saved!
2025-03-30 21:58:10,096 - INFO - Timestep 20603| Episode 30/500000 | Score: 2.00 | Avg Reward: 1.23 | Epsilon: 1.0000 | Time: 0.52s | Actions: Counter({1: 8, 3: 8, 2: 8, 0: 6})
2025-03-30 21:58:10,475 - INFO - Timestep 21106| Episode 31/500000 | Score: 0.00 | Avg Reward: 1.19 | Epsilon: 1.0000 | Time: 0.38s | Actions: Counter({1: 8, 3: 8, 2: 8, 0: 7})
2025-03-30 21:58:11,162 - INFO - Timestep 21906| Episode 32/500000 | Score: 2.00 | Avg Reward: 1.22 | Epsilon: 1.0000 | Time: 0.69s | Actions: Counter({1: 9, 3: 8, 2: 8, 0: 7})
2025-03-30 21:58:12,071 - INFO - Timestep 23122| Episode 33/500000 | Score: 4.00 | Avg Reward: 1.30 | Epsilon: 1.0000 | Time: 0.91s | Actions: Counter({1: 9, 3: 9, 2: 8, 0: 7})
