2025-03-30 22:26:09,048 - INFO - Timestep 499| Episode 1/500000 | Score: 0.00 | Avg Reward: 0.00 | Epsilon: 1.0000 | Time: 0.77s | Actions: Counter({1: 1})
2025-03-30 22:26:09,549 - INFO - Timestep 994| Episode 2/500000 | Score: 0.00 | Avg Reward: 0.00 | Epsilon: 1.0000 | Time: 0.50s | Actions: Counter({1: 1, 3: 1})
2025-03-30 22:26:09,965 - INFO - Timestep 1616| Episode 3/500000 | Score: 1.00 | Avg Reward: 0.33 | Epsilon: 1.0000 | Time: 0.42s | Actions: Counter({1: 1, 3: 1, 0: 1})
2025-03-30 22:26:10,305 - INFO - Timestep 2107| Episode 4/500000 | Score: 0.00 | Avg Reward: 0.25 | Epsilon: 1.0000 | Time: 0.34s | Actions: Counter({1: 1, 3: 1, 0: 1, 2: 1})
2025-03-30 22:26:10,766 - INFO - Timestep 2803| Episode 5/500000 | Score: 1.00 | Avg Reward: 0.40 | Epsilon: 1.0000 | Time: 0.46s | Actions: Counter({2: 2, 1: 1, 3: 1, 0: 1})
2025-03-30 22:26:11,234 - INFO - Timestep 3511| Episode 6/500000 | Score: 1.00 | Avg Reward: 0.50 | Epsilon: 1.0000 | Time: 0.47s | Actions: Counter({0: 2, 2: 2, 1: 1, 3: 1})
2025-03-30 22:26:11,572 - INFO - Timestep 4012| Episode 7/500000 | Score: 0.00 | Avg Reward: 0.43 | Epsilon: 1.0000 | Time: 0.34s | Actions: Counter({0: 3, 2: 2, 1: 1, 3: 1})
2025-03-30 22:26:11,994 - INFO - Timestep 4647| Episode 8/500000 | Score: 1.00 | Avg Reward: 0.50 | Epsilon: 1.0000 | Time: 0.42s | Actions: Counter({0: 4, 2: 2, 1: 1, 3: 1})
2025-03-30 22:26:12,775 - INFO - Timestep 5831| Episode 9/500000 | Score: 4.00 | Avg Reward: 0.89 | Epsilon: 1.0000 | Time: 0.78s | Actions: Counter({0: 5, 2: 2, 1: 1, 3: 1})
2025-03-30 22:26:13,358 - INFO - Timestep 6714| Episode 10/500000 | Score: 2.00 | Avg Reward: 1.00 | Epsilon: 1.0000 | Time: 0.58s | Actions: Counter({0: 5, 3: 2, 2: 2, 1: 1})
2025-03-30 22:26:13,886 - INFO - Timestep 7508| Episode 11/500000 | Score: 2.00 | Avg Reward: 1.09 | Epsilon: 1.0000 | Time: 0.53s | Actions: Counter({0: 5, 1: 2, 3: 2, 2: 2})
2025-03-30 22:26:14,539 - INFO - Timestep 8496| Episode 12/500000 | Score: 3.00 | Avg Reward: 1.25 | Epsilon: 1.0000 | Time: 0.65s | Actions: Counter({0: 5, 1: 3, 3: 2, 2: 2})
2025-03-30 22:26:14,993 - INFO - Timestep 9183| Episode 13/500000 | Score: 1.00 | Avg Reward: 1.23 | Epsilon: 1.0000 | Time: 0.45s | Actions: Counter({0: 6, 1: 3, 3: 2, 2: 2})
2025-03-30 22:26:15,326 - INFO - Timestep 9678| Episode 14/500000 | Score: 0.00 | Avg Reward: 1.14 | Epsilon: 1.0000 | Time: 0.33s | Actions: Counter({0: 6, 1: 3, 2: 3, 3: 2})
Model saved!
2025-03-30 22:26:15,794 - INFO - Timestep 10357| Episode 15/500000 | Score: 1.00 | Avg Reward: 1.13 | Epsilon: 1.0000 | Time: 0.47s | Actions: Counter({0: 7, 1: 3, 2: 3, 3: 2})
2025-03-30 22:26:16,129 - INFO - Timestep 10857| Episode 16/500000 | Score: 0.00 | Avg Reward: 1.06 | Epsilon: 1.0000 | Time: 0.33s | Actions: Counter({0: 7, 2: 4, 1: 3, 3: 2})
