2025-03-30 23:48:27,484 - INFO - Timestep 488| Episode 1/500000 | Score: 0.00 | Avg Reward: 0.00 | Epsilon: 1.0000 | Time: 0.59s |
2025-03-30 23:48:28,152 - INFO - Timestep 1287| Episode 2/500000 | Score: 2.00 | Avg Reward: 1.00 | Epsilon: 1.0000 | Time: 0.67s |
2025-03-30 23:48:28,828 - INFO - Timestep 2286| Episode 3/500000 | Score: 3.00 | Avg Reward: 1.67 | Epsilon: 1.0000 | Time: 0.68s |
2025-03-30 23:48:29,164 - INFO - Timestep 2781| Episode 4/500000 | Score: 0.00 | Avg Reward: 1.25 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:48:29,625 - INFO - Timestep 3470| Episode 5/500000 | Score: 1.00 | Avg Reward: 1.20 | Epsilon: 1.0000 | Time: 0.46s |
2025-03-30 23:48:30,159 - INFO - Timestep 4273| Episode 6/500000 | Score: 2.00 | Avg Reward: 1.33 | Epsilon: 1.0000 | Time: 0.53s |
2025-03-30 23:48:30,491 - INFO - Timestep 4773| Episode 7/500000 | Score: 0.00 | Avg Reward: 1.14 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:48:31,163 - INFO - Timestep 5793| Episode 8/500000 | Score: 3.00 | Avg Reward: 1.38 | Epsilon: 1.0000 | Time: 0.67s |
2025-03-30 23:48:31,507 - INFO - Timestep 6309| Episode 9/500000 | Score: 0.00 | Avg Reward: 1.22 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:48:31,846 - INFO - Timestep 6809| Episode 10/500000 | Score: 0.00 | Avg Reward: 1.10 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:48:32,172 - INFO - Timestep 7298| Episode 11/500000 | Score: 0.00 | Avg Reward: 1.00 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:48:32,495 - INFO - Timestep 7784| Episode 12/500000 | Score: 0.00 | Avg Reward: 0.92 | Epsilon: 1.0000 | Time: 0.32s |
2025-03-30 23:48:32,835 - INFO - Timestep 8293| Episode 13/500000 | Score: 0.00 | Avg Reward: 0.85 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:48:33,240 - INFO - Timestep 8903| Episode 14/500000 | Score: 1.00 | Avg Reward: 0.86 | Epsilon: 1.0000 | Time: 0.40s |
2025-03-30 23:48:33,578 - INFO - Timestep 9407| Episode 15/500000 | Score: 0.00 | Avg Reward: 0.80 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:48:33,922 - INFO - Timestep 9915| Episode 16/500000 | Score: 0.00 | Avg Reward: 0.75 | Epsilon: 1.0000 | Time: 0.34s |
Model saved!
2025-03-30 23:48:34,471 - INFO - Timestep 10726| Episode 17/500000 | Score: 2.00 | Avg Reward: 0.82 | Epsilon: 1.0000 | Time: 0.55s |
2025-03-30 23:48:34,798 - INFO - Timestep 11215| Episode 18/500000 | Score: 0.00 | Avg Reward: 0.78 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:48:35,257 - INFO - Timestep 11904| Episode 19/500000 | Score: 1.00 | Avg Reward: 0.79 | Epsilon: 1.0000 | Time: 0.46s |
2025-03-30 23:48:35,671 - INFO - Timestep 12514| Episode 20/500000 | Score: 1.00 | Avg Reward: 0.80 | Epsilon: 1.0000 | Time: 0.41s |
2025-03-30 23:48:36,232 - INFO - Timestep 13338| Episode 21/500000 | Score: 2.00 | Avg Reward: 0.86 | Epsilon: 1.0000 | Time: 0.56s |
2025-03-30 23:48:36,689 - INFO - Timestep 14022| Episode 22/500000 | Score: 1.00 | Avg Reward: 0.86 | Epsilon: 1.0000 | Time: 0.46s |
2025-03-30 23:48:37,038 - INFO - Timestep 14540| Episode 23/500000 | Score: 0.00 | Avg Reward: 0.83 | Epsilon: 1.0000 | Time: 0.35s |
2025-03-30 23:48:37,372 - INFO - Timestep 15035| Episode 24/500000 | Score: 0.00 | Avg Reward: 0.79 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:48:37,914 - INFO - Timestep 15853| Episode 25/500000 | Score: 2.00 | Avg Reward: 0.84 | Epsilon: 1.0000 | Time: 0.54s |
2025-03-30 23:48:38,399 - INFO - Timestep 16583| Episode 26/500000 | Score: 2.00 | Avg Reward: 0.88 | Epsilon: 1.0000 | Time: 0.48s |
2025-03-30 23:48:38,731 - INFO - Timestep 17078| Episode 27/500000 | Score: 0.00 | Avg Reward: 0.85 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:48:39,149 - INFO - Timestep 17699| Episode 28/500000 | Score: 1.00 | Avg Reward: 0.86 | Epsilon: 1.0000 | Time: 0.42s |
2025-03-30 23:48:39,555 - INFO - Timestep 18308| Episode 29/500000 | Score: 1.00 | Avg Reward: 0.86 | Epsilon: 1.0000 | Time: 0.40s |
2025-03-30 23:48:39,903 - INFO - Timestep 18803| Episode 30/500000 | Score: 0.00 | Avg Reward: 0.83 | Epsilon: 1.0000 | Time: 0.35s |
2025-03-30 23:48:40,236 - INFO - Timestep 19302| Episode 31/500000 | Score: 0.00 | Avg Reward: 0.81 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:48:40,641 - INFO - Timestep 19913| Episode 32/500000 | Score: 1.00 | Avg Reward: 0.81 | Epsilon: 1.0000 | Time: 0.40s |
Model saved!
2025-03-30 23:48:40,994 - INFO - Timestep 20408| Episode 33/500000 | Score: 0.00 | Avg Reward: 0.79 | Epsilon: 1.0000 | Time: 0.35s |
2025-03-30 23:48:41,341 - INFO - Timestep 20927| Episode 34/500000 | Score: 0.00 | Avg Reward: 0.76 | Epsilon: 1.0000 | Time: 0.35s |
2025-03-30 23:48:41,750 - INFO - Timestep 21535| Episode 35/500000 | Score: 1.00 | Avg Reward: 0.77 | Epsilon: 1.0000 | Time: 0.41s |
2025-03-30 23:48:42,403 - INFO - Timestep 22528| Episode 36/500000 | Score: 3.00 | Avg Reward: 0.83 | Epsilon: 1.0000 | Time: 0.65s |
2025-03-30 23:48:42,810 - INFO - Timestep 23141| Episode 37/500000 | Score: 1.00 | Avg Reward: 0.84 | Epsilon: 1.0000 | Time: 0.41s |
2025-03-30 23:48:43,146 - INFO - Timestep 23641| Episode 38/500000 | Score: 0.00 | Avg Reward: 0.82 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:48:43,827 - INFO - Timestep 24645| Episode 39/500000 | Score: 3.00 | Avg Reward: 0.87 | Epsilon: 1.0000 | Time: 0.68s |
2025-03-30 23:48:44,248 - INFO - Timestep 25274| Episode 40/500000 | Score: 1.00 | Avg Reward: 0.88 | Epsilon: 1.0000 | Time: 0.42s |
2025-03-30 23:48:44,602 - INFO - Timestep 25801| Episode 41/500000 | Score: 0.00 | Avg Reward: 0.85 | Epsilon: 1.0000 | Time: 0.35s |
2025-03-30 23:48:45,190 - INFO - Timestep 26684| Episode 42/500000 | Score: 2.00 | Avg Reward: 0.88 | Epsilon: 1.0000 | Time: 0.59s |
2025-03-30 23:48:45,693 - INFO - Timestep 27435| Episode 43/500000 | Score: 2.00 | Avg Reward: 0.91 | Epsilon: 1.0000 | Time: 0.50s |
2025-03-30 23:48:46,099 - INFO - Timestep 28044| Episode 44/500000 | Score: 1.00 | Avg Reward: 0.91 | Epsilon: 1.0000 | Time: 0.41s |
2025-03-30 23:48:46,441 - INFO - Timestep 28555| Episode 45/500000 | Score: 0.00 | Avg Reward: 0.89 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:48:46,969 - INFO - Timestep 29357| Episode 46/500000 | Score: 2.00 | Avg Reward: 0.91 | Epsilon: 1.0000 | Time: 0.53s |
Model saved!
2025-03-30 23:48:47,508 - INFO - Timestep 30156| Episode 47/500000 | Score: 2.00 | Avg Reward: 0.94 | Epsilon: 1.0000 | Time: 0.54s |
2025-03-30 23:48:48,090 - INFO - Timestep 31031| Episode 48/500000 | Score: 2.00 | Avg Reward: 0.96 | Epsilon: 1.0000 | Time: 0.58s |
