2025-03-30 23:56:23,545 - INFO - Timestep 513| Episode 1/500000 | Score: 0.00 | Avg Reward: 0.00 | Epsilon: 1.0000 | Time: 0.62s |
2025-03-30 23:56:24,363 - INFO - Timestep 1515| Episode 2/500000 | Score: 3.00 | Avg Reward: 1.50 | Epsilon: 1.0000 | Time: 0.82s |
2025-03-30 23:56:24,988 - INFO - Timestep 2436| Episode 3/500000 | Score: 3.00 | Avg Reward: 2.00 | Epsilon: 1.0000 | Time: 0.62s |
2025-03-30 23:56:25,613 - INFO - Timestep 3355| Episode 4/500000 | Score: 3.00 | Avg Reward: 2.25 | Epsilon: 1.0000 | Time: 0.63s |
2025-03-30 23:56:26,276 - INFO - Timestep 4350| Episode 5/500000 | Score: 3.00 | Avg Reward: 2.40 | Epsilon: 1.0000 | Time: 0.66s |
2025-03-30 23:56:26,609 - INFO - Timestep 4849| Episode 6/500000 | Score: 0.00 | Avg Reward: 2.00 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:56:27,259 - INFO - Timestep 5835| Episode 7/500000 | Score: 3.00 | Avg Reward: 2.14 | Epsilon: 1.0000 | Time: 0.65s |
2025-03-30 23:56:27,606 - INFO - Timestep 6346| Episode 8/500000 | Score: 0.00 | Avg Reward: 1.88 | Epsilon: 1.0000 | Time: 0.35s |
2025-03-30 23:56:28,071 - INFO - Timestep 7050| Episode 9/500000 | Score: 1.00 | Avg Reward: 1.78 | Epsilon: 1.0000 | Time: 0.46s |
2025-03-30 23:56:28,668 - INFO - Timestep 7959| Episode 10/500000 | Score: 3.00 | Avg Reward: 1.90 | Epsilon: 1.0000 | Time: 0.60s |
2025-03-30 23:56:29,326 - INFO - Timestep 8955| Episode 11/500000 | Score: 3.00 | Avg Reward: 2.00 | Epsilon: 1.0000 | Time: 0.66s |
2025-03-30 23:56:29,793 - INFO - Timestep 9651| Episode 12/500000 | Score: 1.00 | Avg Reward: 1.92 | Epsilon: 1.0000 | Time: 0.47s |
Model saved!
2025-03-30 23:56:30,271 - INFO - Timestep 10332| Episode 13/500000 | Score: 1.00 | Avg Reward: 1.85 | Epsilon: 1.0000 | Time: 0.48s |
2025-03-30 23:56:30,605 - INFO - Timestep 10831| Episode 14/500000 | Score: 0.00 | Avg Reward: 1.71 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:56:30,948 - INFO - Timestep 11326| Episode 15/500000 | Score: 0.00 | Avg Reward: 1.60 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:56:31,697 - INFO - Timestep 12466| Episode 16/500000 | Score: 4.00 | Avg Reward: 1.75 | Epsilon: 1.0000 | Time: 0.75s |
2025-03-30 23:56:32,031 - INFO - Timestep 12963| Episode 17/500000 | Score: 0.00 | Avg Reward: 1.65 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:56:32,439 - INFO - Timestep 13578| Episode 18/500000 | Score: 1.00 | Avg Reward: 1.61 | Epsilon: 1.0000 | Time: 0.41s |
2025-03-30 23:56:33,105 - INFO - Timestep 14593| Episode 19/500000 | Score: 3.00 | Avg Reward: 1.68 | Epsilon: 1.0000 | Time: 0.67s |
2025-03-30 23:56:33,434 - INFO - Timestep 15088| Episode 20/500000 | Score: 0.00 | Avg Reward: 1.60 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:56:33,788 - INFO - Timestep 15595| Episode 21/500000 | Score: 0.00 | Avg Reward: 1.52 | Epsilon: 1.0000 | Time: 0.35s |
2025-03-30 23:56:34,251 - INFO - Timestep 16283| Episode 22/500000 | Score: 1.00 | Avg Reward: 1.50 | Epsilon: 1.0000 | Time: 0.46s |
2025-03-30 23:56:34,829 - INFO - Timestep 17164| Episode 23/500000 | Score: 2.00 | Avg Reward: 1.52 | Epsilon: 1.0000 | Time: 0.58s |
2025-03-30 23:56:35,167 - INFO - Timestep 17667| Episode 24/500000 | Score: 0.00 | Avg Reward: 1.46 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:56:35,757 - INFO - Timestep 18554| Episode 25/500000 | Score: 2.00 | Avg Reward: 1.48 | Epsilon: 1.0000 | Time: 0.59s |
2025-03-30 23:56:36,361 - INFO - Timestep 19471| Episode 26/500000 | Score: 3.00 | Avg Reward: 1.54 | Epsilon: 1.0000 | Time: 0.60s |
Model saved!
2025-03-30 23:56:37,148 - INFO - Timestep 20658| Episode 27/500000 | Score: 4.00 | Avg Reward: 1.63 | Epsilon: 1.0000 | Time: 0.79s |
2025-03-30 23:56:37,478 - INFO - Timestep 21154| Episode 28/500000 | Score: 0.00 | Avg Reward: 1.57 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:56:37,939 - INFO - Timestep 21842| Episode 29/500000 | Score: 1.00 | Avg Reward: 1.55 | Epsilon: 1.0000 | Time: 0.46s |
